respondent_id,y,y_obs,d,pd,z,_jiko_months1,_jiko_months2,_jiko_months3,_pca_non_charcoal_engergy11,_pca_non_charcoal_engergy12,_pca_non_charcoal_engergy13,_pca_non_charcoal_engergy21,_pca_non_charcoal_engergy22,_pca_non_charcoal_engergy23,_pca_non_charcoal_engergy31,_pca_non_charcoal_engergy32,_pca_non_charcoal_engergy33,_pca_non_charcoal_engergy41,_pca_non_charcoal_engergy42,_pca_non_charcoal_engergy43,_d_charcoalfree1,_d_charcoalfree2,_d_charcoalfree3,_d_charcoaluse1,_d_charcoaluse2,_d_charcoaluse3,_d_charcoalbuy_USD1,_d_charcoalbuy_USD2,_d_charcoalbuy_USD3,_c_cookstoveprice_USD1,_c_cookstoveprice_USD2,_c_cookstoveprice_USD3,_r_charprice1,_r_charprice2,_r_charprice3,_d_beanmax1,_d_beanmax2,_d_beanmax3,_d_beanmin1,_d_beanmin2,_d_beanmin3,_v1_beliefs_annual_mean1,_v1_beliefs_annual_mean2,_v1_beliefs_annual_mean3,_v1_beliefs_annual_sd1,_v1_beliefs_annual_sd2,_v1_beliefs_annual_sd3,_v1_beliefs_annual_median1,_v1_beliefs_annual_median2,_v1_beliefs_annual_median3,_g_invest_USD1,_g_invest_USD2,_g_invest_USD3,_PB1,_b_residents1,_b_residents2,_b_residents3,_b_children1,_b_children2,_b_children3,_hhincome1,_hhincome2,_hhincome3,_b_rent1,_b_rent2,_b_rent3,mi__jiko_months1,mi__c_cookstoveprice_USD1,mi__hhincome1
"00fab5b",2.2926358,3,1,.50462963,3,6,0,0,-.1324932,0,0,-.0023205,0,0,-.5972258,0,0,-1.182694,1.332043,0,0,0,0,770,0,0,7.6,.1,0,3.333333,.5666667,0,-411.1111,377.494,0,17500,0,0,0,0,0,8541.667,3583.333,0,1749.06,0,0,8541.667,3333.333,0,0,0,0,.3333333,4,0,0,2,0,0,400,0,0,3800,0,0,0,0,0
"012f5dd",1.9657205,9,1,.50462963,3,14,0,0,-.0479317,0,0,-.2483642,0,0,-.5544819,0,0,-1.182694,1.330824,0,0,0,0,80,0,0,5.6,0,0,3.333333,.1666667,0,-411.1111,387.494,0,15000,0,0,0,0,0,6250,0,0,2222.953,1460.67,0,6250,0,0,1,0,0,0,2,0,0,0,0,0,850,0,0,3000,0,0,0,0,0
"019bb2z",1.8530093,21,1,.92696629,4,27,0,0,.0364591,.0908232,0,1.403415,0,0,-.1857827,0,0,-1.182694,1.009513,0,0,0,0,490,0,0,4.9,0,0,3,0,0,-411.1111,377.494,0,13687,0,0,0,0,0,8541.667,5833.333,0,0,0,0,8541.667,5833.333,0,.5,0,0,.3333333,4,0,0,2,0,0,700,0,0,2000,0,0,0,0,0
"02008f1",2.6441208,1,1,.92696629,4,13,0,0,-.0205807,0,0,-.0886648,0,0,-.8528565,0,0,-1.182694,1.20916,0,0,0,0,700,0,0,7,0,0,3.333333,.6666667,0,-411.1111,407.494,0,14000,0,0,0,0,0,8541.667,5270.833,0,1695.34,0,0,8541.667,5833.333,0,.5,0,0,.3333333,4,0,0,2,0,0,300,0,0,2500,0,0,0,0,0
"022705c",2.3819235,1,1,.58235294,2,0,0,0,.0364591,.2157444,0,2.759284,0,0,.1533261,0,0,-1.182694,1.288956,0,0,0,0,350,0,0,3.5,0,0,2.5,0,0,-411.1111,408.921,0,10000,0,0,0,0,0,6437.5,0,0,1780.514,0,0,6875,0,0,1.333333,1.333333,.3333333,.3333333,5.666667,1.333333,0,3.666667,.3333333,0,300,0,0,7000,0,0,1,0,0
"02468c2",3.1517146,1,0,.50462963,3,26,0,0,-.010081,0,0,.45442,0,0,-.8651423,0,0,-1.182694,1.324962,0,0,0,0,500,0,0,5,0,0,3.2,0,0,-411.1111,600.1736,0,7500,0,0,0,0,0,8541.667,5770.833,0,1789.728,0,0,8541.667,7083.333,0,1,0,0,.3333333,2,0,0,0,0,0,700,0,0,2500,0,0,0,0,0
"027db7f",2.2926358,3,0,.50462963,3,18,0,0,-.0625897,0,0,-.305288,0,0,.2443465,0,0,-1.182694,.3556925,0,0,0,0,350,0,0,3.5,0,0,3.333333,.1666667,0,-411.1111,438.921,0,7500,0,0,0,0,0,6500,0,0,587.7029,0,0,6875,0,0,1.333333,1.333333,1.333333,0,3,0,0,0,0,0,1700,0,0,4500,0,0,0,0,0
"030a959",1.1714262,8,1,.92696629,4,15,0,0,-.0237561,0,0,.9052806,0,0,.1918376,0,0,-1.182694,2.253568,0,0,0,0,300,0,0,3,0,0,3,0,0,-411.1111,407.494,0,5200,0,0,0,0,0,3125,0,0,1813.691,0,0,3125,0,0,1.333333,.6666667,0,.3333333,5.666667,.3333333,0,3,0,0,1500,0,0,0,0,0,0,0,0
"030zf05",1.6857356,24,1,.98882682,5,4,0,0,-.1419312,0,0,-.7312029,0,0,.6226767,0,0,-1.182694,.0907193,0,0,0,0,300,0,0,3,0,0,3.333333,3.333333,2.333333,-411.1111,397.494,0,10500,0,0,0,0,0,6375,0,0,628.2809,0,0,6875,0,0,1,0,0,.3333333,3,0,0,1,0,0,1000,0,0,3000,0,0,0,0,0
"03b6961",2.5511299,13,1,.58235294,2,13,0,0,-.0526278,0,0,-.3343765,0,0,-.5756204,0,0,-1.182694,2.788722,0,0,0,0,700,0,0,7,0,0,3.333333,1.666667,0,-411.1111,407.494,0,18200,0,0,0,0,0,8541.667,7916.667,416.6667,0,0,0,8541.667,7916.667,416.6667,1,0,0,0,4,0,0,2,0,0,500,0,0,3000,0,0,0,0,0
"03dc4f2",2.2997887,19,1,.92696629,4,25,0,0,-.0961831,0,0,.5370234,0,0,.0083569,0,0,-1.182694,1.167759,0,0,0,0,700,0,0,7,0,0,2.5,0,0,-411.1111,407.494,0,18200,0,0,0,0,0,8541.667,7708.333,0,1433.848,0,0,8541.667,7708.333,0,1.333333,1.333333,1.333333,0,4,0,0,3,0,0,1000,0,0,4000,0,0,0,0,0
"0485bb7",3.173615,9,0,.50462963,3,2,0,0,-.1996827,0,0,-1.043238,0,0,.4135835,0,0,-1.182694,.2167871,0,0,0,0,700,0,0,7,0,0,2.5,0,0,-411.1111,407.494,0,15000,0,0,0,0,0,3687.5,0,0,948.9433,0,0,4375,0,0,1.333333,.6666667,0,0,3,0,0,1,0,0,300,0,0,3000,0,0,0,0,0
"04d1454",2.117807,9,0,.09433962,1,27,0,0,.0141087,0,0,.7116102,0,0,-.7777363,0,0,-1.182694,1.600995,0,0,0,0,490,0,0,4.9,0,0,2.5,0,0,-411.1111,387.494,0,14600,0,0,0,0,0,625,0,0,0,0,0,625,0,0,1,0,0,0,3,0,0,1,0,0,0,0,0,1800,0,0,0,0,1
"04zz36c",1.8995621,10,1,.98882682,5,10,0,0,-.134838,0,0,-.7417313,0,0,-.0101001,0,0,-1.182694,1.607745,0,0,0,0,350,0,0,3.5,0,0,2.5,0,0,-411.1111,377.494,0,8528,0,0,0,0,0,8541.667,208.3333,0,641.2365,0,0,8541.667,208.3333,0,1,0,0,.3333333,5,0,0,3.666667,.3333333,0,350,0,0,2300,0,0,0,0,0
"055fff4",1.9972869,12,1,.50462963,3,22,0,0,-.0043496,0,0,1.373075,0,0,-.8397728,0,0,-1.182694,1.885701,0,0,0,0,300,0,0,3,0,0,3.333333,.6666667,0,-411.1111,407.494,0,10000,0,0,0,0,0,6312.5,0,0,1248.354,0,0,5625,0,0,1,0,0,0,4,0,0,2,0,0,1300,0,0,3500,0,0,0,0,0
"05b4f73",1.583489,2,1,.58235294,2,5,0,0,-.1784386,0,0,-.9302348,0,0,1.726125,0,0,-1.660582,0,0,0,0,0,120,0,0,7.6,.8,0,3,0,0,-411.1111,398.921,0,5000,0,0,0,0,0,8541.667,7458.333,0,2222.953,377.0216,0,8541.667,7083.333,0,1.333333,.6666667,0,.3333333,4,0,0,2,0,0,900,0,0,2000,0,0,0,0,0
