submissiondate,today,tabletid,duration,respondent_id,respondent_id2,treata,treatc,received_sms,thankyou_late,a_consent,decision1,decision2,decision3,decision4,decision5,d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,random_10,durationtasks,jikokoa_guessprice,jikokoa_buytoday,jikokoa_comments,g_askhealth,showid_legal,pracgoodbdm,pracgoodtioli,pracprice1,pracprice2,hhbdm,pracbuy_tioli,prac_start,prac_x1,prac_min1,prac_max1,prac_bid1,prac_x2,prac_min2,prac_max2,prac_bid2,prac_x3,prac_min3,prac_max3,prac_bid3,prac_x4,prac_min4,prac_max4,prac_bid4,prac_x5,prac_min5,prac_max5,prac_bid5,prac_x6,prac_min6,prac_max6,prac_bid6,prac_wtp1,prac_wtp1_p5,prac_wtp1_m5,prac_maxpay1,prac_newwtp1,prac_checkbid1,prac_checkbid1_first,prac_checkbid1wronga,prac_checkbid1wrongb,prac_checkbid2,prac_checkbid2_first,prac_checkbid2wrong,prac_doublecheck1,prac_wtp2,prac_wtp2_p5,prac_wtp2_m5,prac_maxpay2,prac_newwtp2,prac_checkbid3,prac_checkbid3_first,prac_checkbid3wronga,prac_checkbid3wrongb,prac_checkbid4,prac_checkbid4_first,prac_checkbid4wrong,prac_doublecheck2,prac_wtp3,prac_wtp3_p5,prac_wtp3_m5,prac_maxpay3,prac_newwtp3,prac_checkbid5,prac_checkbid5_first,prac_checkbid5wronga,prac_checkbid5wrongb,prac_checkbid6,prac_checkbid6_first,prac_checkbid6wrong,prac_doublecheck3,prac_wtp4,prac_wtp4_p5,prac_wtp4_m5,prac_maxpay4,prac_checkbid7,prac_checkbid7_first,prac_checkbid7wronga,prac_checkbid7wrongb,prac_checkbid8,prac_checkbid8_first,prac_checkbid8wrong,prac_doublecheck4,prac_finwtp,pracbuy_bdm,prac_respchange,prac_respargue,prac_arguments,durationpracbdm,comment_treatc,durationinstallments,spend,spend50,attw_annual_sheet,attw_help,attw1,attw2,attw3,attw4,attw5,attw6,attw7,attw8,attw9,attw10,attw11,attw12,attw13,attw14,attw15,attw16,attw17,attw18,attw19,attw20,attw21,attw22,attw23,attw24,attw25,attw26,attw27,attw28,attw29,attw30,attw31,attw32,attw33,attw34,attw35,attw36,attw37,attw38,attw39,attw40,attw41,attw42,attw43,attw44,attw45,attw46,attw47,attw48,attw49,attw50,attw51,attw52,attw_total1,attw_total212,attw_total,attw_all,durationattention,start,min1,max1,bid1,min2,max2,bid2,min3,max3,bid3,min4,max4,bid4,min5,max5,bid5,min6,max6,bid6,min7,max7,bid7,min8,max8,bid8,min9,max9,bid9,min10,max10,bid10,min11,max11,bid11,min12,max12,bid12,wtp1,wtp1_p5,wtp1_m5,maxpay1,newwtp1,checkbid1,checkbid1_first,checkbid1wronga,checkbid1wrongb,checkbid2,checkbid2_first,checkbid2wrong,doublecheck1,wtp2,wtp2_p5,wtp2_m5,maxpay2,newwtp2,checkbid3,checkbid3_first,checkbid3wronga,checkbid3wrongb,checkbid4,checkbid4_first,checkbid4wrong,doublecheck2,wtp3,wtp3_p5,wtp3_m5,maxpay3,newwtp3,checkbid5,checkbid5_first,checkbid5wronga,checkbid5wrongb,checkbid6,checkbid6_first,checkbid6wrong,doublecheck3,wtp4,wtp4_p5,wtp4_m5,maxpay4,checkbid7,checkbid7_first,checkbid7wronga,checkbid7wrongb,checkbid8,checkbid8_first,checkbid8wrong,doublecheck4,finwtp,finwtp_first,d_beanmax,d_beanmin,f2_comment,d_beans1,d_beans2,d_beans3,d_beans4,d_beans5,d_beans6,d_beans7,d_beans8,d_beans9,d_beans10,d_beans11,d_beans12,d_beans13,d_beans14,d_beans15,d_beans16,d_beans17,d_beans18,d_beans19,d_beans20,d_beanstotal,beans_no20,d_beanmax_w,d_beanmin_w,f2_comment_w,d_beans1_w,d_beans2_w,d_beans3_w,d_beans4_w,d_beans5_w,d_beans6_w,d_beans7_w,d_beans8_w,d_beans9_w,d_beans10_w,d_beans11_w,d_beans12_w,d_beans13_w,d_beans14_w,d_beans15_w,d_beans16_w,d_beans17_w,d_beans18_w,d_beans19_w,d_beans20_w,d_beanstotal_w,beans_no20_w,checkfinal,doublecheckfinal1,doublecheckfinal2,f_pricecorrect,f_pricewritten,price,f_respargu_yn,prac_instalments,prac_instalmentsdp,prac_paydp,prac_payfp,paytoday,bdmleft,bdmweekly,bdmmonthly,date_raw,date_now,date_week,date_month,payswitch,treatc2,f_complete,f_payment,f_paytoomuch,f_failure,jikokoa,register_yn,register_nowhy,confirm_when_w,confirm_when_m,confirm_amt_w,confirm_amt_m,confirm_total,nosms_select,nosms_select_1,nosms_select_2,nosms_select_3,nosms_select_4,nosms_select_5,nosms_select_6,nosms_select_97,nosms_select_99,nosms_newnum,sms_responded,sms_noairtime,h_agreed,thankyou_tioli,thankyou_bdm,thankyou_both,instanceid,formdef_version,key,treata_pooled,treatc_pooled,midline_date,win_bdm,wtp_normalized,diff,update,thankyou_visit2
"May 17, 2019 5:56:09 PM","May 17, 2019","60:a4:4c:96:97:4f",6478,"6231cf9","6231cf9",0,2,1,1,1,10,5,11,13,7,"21 today             4 in 1 month","15 today             9 in 1 month","20 today             6 in 1 month","10 today             19.25 in 1 month","20 today             7.5 in 1 month","14 today …………………………….. 7.5 in 1 month","19 today …………………………….. 6 in 1 month","13 today …………………………….. 13 in 1 month","11 today …………………………….. 18 in 1 month","17 today …………………………….. 12 in 1 month",10,2194,,,"",0,1,"Lotion","KipandeYaSabuni",62,11,1816,1,0,25,0,60,0,13,0,25,0,7,0,13,0,4,0,7,0,2,0,4,0,1,0,2,0,0,5,0,1,,1,1,,,2,2,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,"",3134,"",3273,700,350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","","","",65,0,0,2500,1,1250,2500,1,1875,2500,0,1875,2188,0,1875,2032,1,1954,2032,1,1993,2032,0,1993,2013,1,2003,2013,1,2008,2013,0,2008,2011,0,2008,2010,0,2008,2013,2003,1,,1,1,,,2,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2008,2008,25200,0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,8,3,20,,525,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,10,3,20,,2058,1,1,1,,1816,,617,494,369,1234,0,1816,154,617,"17/05/2019","May-17","May-24","Jun-14",0,2,,,,"",1,1,"",,28,,617,1816,"",,,,,,,,,,,,1,238,289,227,"uuid:9715015a-6680-4445-8878-a91c92863688",1905170644,"uuid:9715015a-6680-4445-8878-a91c92863688",0,1,17may2019,1,192,0,0,238
"May 17, 2019 5:47:06 PM","May 17, 2019","894ee145092eb045",3941,"d22dfzb","d22dfeb",0,2,1,1,1,18,16,18,16,14,"3 today             13 in 1 month","4 today             17.25 in 1 month","5 today             21 in 1 month","6 today             24.25 in 1 month","7 today             27 in 1 month","6 today …………………………….. 11.5 in 1 month","8 today …………………………….. 14.25 in 1 month","6 today …………………………….. 20 in 1 month","8 today …………………………….. 21.75 in 1 month","10 today …………………………….. 22.5 in 1 month",7,725,,,"",0,1,"KipandeYaSabuni","Lotion",76,10,2587,0,0,25,0,60,0,13,0,25,1,19,13,25,1,22,19,25,0,21,19,22,0,20,19,21,1,20,25,15,1,,1,1,,,2,2,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,1,0,0,"",1854,"",2073,2450,1225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","","","",20,0,0,2500,0,0,1250,0,0,625,1,313,625,0,313,469,0,313,391,0,313,352,0,313,333,0,313,323,0,313,318,0,313,316,0,313,315,0,313,318,308,1,,1,1,,,2,2,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,313,313,18250,0,"",0,0,0,0,0,0,3,2,2,2,1,2,3,2,3,0,0,0,0,0,20,,350,0,,0,0,0,0,0,0,0,4,4,3,2,3,2,2,0,0,0,0,0,0,20,,363,1,1,1,,2587,0,,,,,,,,,"","","","",,2,,,,"",0,,"",,,,,,"",,,,,,,,,,,,1,224,290,214,"uuid:e4659dac-f215-4675-9b36-032875803278",1905170644,"uuid:e4659dac-f215-4675-9b36-032875803278",0,1,17may2019,0,-2274,0,0,290
"May 17, 2019 4:30:15 PM","May 17, 2019","8.68912E+14",4076,"5z58ac6","5e58ac6",0,1,1,1,1,21,21,21,21,21,"16 today             6.5 in 1 month","3 today             18 in 1 month","3 today             23 in 1 month","16 today             11.75 in 1 month","23 today             3 in 1 month","3 today …………………………….. 13 in 1 month","3 today …………………………….. 18 in 1 month","3 today …………………………….. 23 in 1 month","3 today …………………………….. 28 in 1 month","3 today …………………………….. 33 in 1 month",2,166,,,"",0,3,"KipandeYaSabuni","Lotion",41,88,2635,1,1,90,60,120,0,75,60,90,0,68,60,75,0,64,60,68,0,62,60,64,0,61,60,62,0,60,65,55,1,,1,1,,,2,2,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,0,0,0,"",837,"",1229,420,210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","","","",11,0,0,2500,1,1250,2500,0,1250,1875,0,1250,1563,0,1250,1407,1,1329,1407,0,1329,1368,1,1349,1368,0,1349,1359,1,1354,1359,1,1357,1359,1,1358,1359,0,1358,1363,1353,1,,1,1,,,2,2,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1358,1358,9000,0,"",0,0,0,0,0,18,2,0,0,0,0,0,0,0,0,0,0,0,0,0,20,,180,0,,0,0,0,0,0,2,3,15,0,0,0,0,0,0,0,0,0,0,0,0,20,,1408,1,1,1,,2635,0,,,,,,,,,"","","","",,1,,,,"",0,,"",,,,,,"",,,,,,,,,,,,0,259,212,171,"uuid:6940794e-9d8c-4dfa-a25c-c8dbdc63fe72",1905170644,"uuid:6940794e-9d8c-4dfa-a25c-c8dbdc63fe72",0,1,17may2019,0,-1277,0,0,259
"May 17, 2019 7:11:40 PM","May 17, 2019","ac:63:be:59:0a:3d",8120,"6c25336","6c25336",0,0,1,1,1,5,5,5,5,5,"20 today             4.5 in 1 month","20 today             5.25 in 1 month","20 today             6 in 1 month","20 today             6.75 in 1 month","20 today             7.5 in 1 month","19 today …………………………….. 5 in 1 month","19 today …………………………….. 6 in 1 month","19 today …………………………….. 7 in 1 month","19 today …………………………….. 8 in 1 month","19 today …………………………….. 9 in 1 month",6,1052,,,"",0,1,"KipandeYaSabuni","Lotion",61,34,1127,1,1,90,60,120,1,105,90,120,1,113,105,120,1,117,113,120,1,119,117,120,1,120,119,120,1,120,120,115,1,,2,2,,,2,2,,1,120,120,115,1,,2,2,,,2,2,,1,120,120,115,1,,2,2,,,2,2,,1,120,120,115,1,2,2,,,2,2,,1,120,1,0,0,"",3304,"",3304,600,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","","","",86,1,2500,5000,0,2500,3750,0,2500,3125,0,2500,2813,0,2500,2657,1,2579,2657,0,2579,2618,1,2599,2618,1,2609,2618,1,2614,2618,1,2616,2618,1,2617,2618,1,2618,2623,2613,1,,1,1,,,2,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2618,2618,12000,0,"",0,0,0,0,1,3,4,4,4,4,0,0,0,0,0,0,0,0,0,0,20,,250,0,,0,0,0,0,1,1,1,3,7,7,0,0,0,0,0,0,0,0,0,0,20,,2668,1,1,1,,1127,,,,,,,,,,"17/05/2019","May-17","May-24","Jun-14",,0,1,1127,,"",1,1,"",,,,,,"",,,,,,,,,,,,1,239,266,205,"uuid:e6fa6cac-ef91-462b-a26c-e88dba2dc3b4",1905170644,"uuid:e6fa6cac-ef91-462b-a26c-e88dba2dc3b4",0,0,17may2019,1,1491,0,0,205
"May 17, 2019 5:47:09 PM","May 17, 2019","894ee145092eb045",4385,"2ad8b4a","2ad8b4a",0,1,1,1,1,8,9,12,14,8,"20 today             4.5 in 1 month","20 today             5.25 in 1 month","20 today             6 in 1 month","20 today             6.75 in 1 month","20 today             7.5 in 1 month","16 today …………………………….. 6.5 in 1 month","15 today …………………………….. 9 in 1 month","12 today …………………………….. 14 in 1 month","10 today …………………………….. 19.25 in 1 month","16 today …………………………….. 13.5 in 1 month",1,331,,,"",0,1,"Lotion","KipandeYaSabuni",24,36,2579,1,1,90,60,120,0,75,60,90,0,68,60,75,0,64,60,68,0,62,60,64,0,61,60,62,0,60,65,55,1,,1,1,,,2,2,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,1,0,0,"",2514,"",2633,540,270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","","","",25,0,0,2500,1,1250,2500,0,1250,1875,0,1250,1563,0,1250,1407,0,1250,1329,0,1250,1290,0,1250,1270,0,1250,1260,0,1250,1255,0,1250,1253,0,1250,1252,0,1250,1255,1245,1,,1,1,,,2,2,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1250,1250,14040,0,"",0,0,0,0,5,0,7,0,5,0,0,3,0,0,0,0,0,0,0,0,20,,270,0,,0,0,0,0,2,2,1,3,5,5,2,0,0,0,0,0,0,0,0,0,20,,1300,1,1,1,,2579,0,,,,,,,,,"","","","",,1,,,,"",0,,"",,,,,,"",,,,,,,,,,,,1,276,264,240,"uuid:a01aae62-a949-4a53-9fa4-0c1ba6107187",1905170644,"uuid:a01aae62-a949-4a53-9fa4-0c1ba6107187",0,1,17may2019,0,-1329,0,0,240
"May 17, 2019 6:05:29 PM","May 17, 2019","3.55277E+14",3707,"23fc6d0","23fc6d0",0,0,1,1,1,1,1,1,1,1,"23 today             3 in 1 month","23 today             3 in 1 month","23 today             3 in 1 month","23 today             3 in 1 month","23 today             3 in 1 month","23 today …………………………….. 3 in 1 month","23 today …………………………….. 3 in 1 month","23 today …………………………….. 3 in 1 month","23 today …………………………….. 3 in 1 month","23 today …………………………….. 3 in 1 month",8,608,,,"",0,1,"Lotion","KipandeYaSabuni",101,49,2502,1,1,90,60,120,1,105,90,120,1,113,105,120,1,117,113,120,1,119,117,120,1,120,119,120,1,120,120,115,1,,2,4,,,2,2,,1,120,120,115,1,,2,2,,,2,2,,1,120,120,115,1,,2,2,,,2,2,,1,120,120,115,1,2,2,,,2,2,,1,120,1,0,0,"",2299,"",2299,300,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","","","",2,0,0,2500,0,0,1250,0,0,625,1,313,625,0,313,469,0,313,391,0,313,352,0,313,333,0,313,323,0,313,318,0,313,316,0,313,315,0,313,318,308,1,,1,1,,,2,2,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,313,313,7200,0,"",0,0,0,0,5,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,,150,0,,0,0,0,0,5,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,,363,1,1,1,,2502,0,,,,,,,,,"","","","",,0,,,,"",0,,"",,,,,,"",,,,,,,,,,,,1,199,251,150,"uuid:7c7327e0-2698-4177-a6fa-ffd455c1c6a8",1905170644,"uuid:7c7327e0-2698-4177-a6fa-ffd455c1c6a8",0,0,17may2019,0,-2189,0,0,150
"May 17, 2019 7:34:35 PM","May 17, 2019","469401f5e759000f",5206,"6z8b158","6e8b158",2,1,1,1,1,18,15,14,13,12,"9 today             10 in 1 month","13 today             10.5 in 1 month","10 today             16 in 1 month","23 today             3 in 1 month","21 today             6 in 1 month","6 today …………………………….. 11.5 in 1 month","9 today …………………………….. 13.5 in 1 month","10 today …………………………….. 16 in 1 month","11 today …………………………….. 18 in 1 month","12 today …………………………….. 19.5 in 1 month",10,336,,,"",0,1,"Lotion","KipandeYaSabuni",85,48,1091,1,1,90,60,120,1,105,90,120,0,98,90,105,1,102,98,105,0,100,98,102,1,101,100,102,0,100,105,95,1,,1,1,,,2,2,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,1,0,0,"",1520,"",1829,525,263,,,300,300,200,200,250,300,300,200,300,300,300,200,200,260,250,300,200,200,200,200,200,300,300,250,250,250,300,300,400,400,400,200,200,200,300,300,250,200,200,200,200,200,250,200,300,300,300,300,200,200,300,300,"Week 1: You would save 300 Ksh","Week 2: You would save 300 Ksh Week 3: You would save 200 Ksh Week 4: You would save 200 Ksh JULY Week 5: You would save 250 Ksh Week 6: You would save 300 Ksh Week 7: You would save 300 Ksh Week 8: You would save 200 Ksh Week 9: You would save","Week 13: You would save 200 Ksh SEPTEMBER Week 14: You would save 260 Ksh Week 15: You would save 250 Ksh Week 16: You would save 300 Ksh Week 17: You would save 200 Ksh Week 18: You would save 200 Ksh OCTOBER Week 19: You would save 200 Ksh We","JUNE: Week 1: You would save 300 Ksh Week 2: You would save 300 Ksh Week 3: You would save 200 Ksh Week 4: You would save 200 Ksh JULY Week 5: You would save 250 Ksh Week 6: You would save 300 Ksh Week 7: You would save 300 Ksh Week 8: You woul",1171,1,2500,5000,0,2500,3750,1,3125,3750,0,3125,3438,0,3125,3282,0,3125,3204,1,3165,3204,0,3165,3185,0,3165,3175,0,3165,3170,0,3165,3168,0,3165,3167,1,3166,3171,3161,1,,1,1,,,2,2,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3166,3166,13000,0,"",0,0,0,0,5,3,5,0,4,1,2,0,0,0,0,0,0,0,0,0,20,,1000,0,,0,0,0,0,0,0,0,0,1,5,4,10,0,0,0,0,0,0,0,0,20,,3216,1,1,1,,1091,,67,54,156,134,300,791,67,269,"17/05/2019","May-17","May-24","Jun-14",,1,1,300,,"",1,1,"",7,,67,,1091,"",,,,,,,,,,,,1,215,252,167,"uuid:cd1e702c-ce74-4a5a-8d65-7a59bcde2a0b",1905170644,"uuid:cd1e702c-ce74-4a5a-8d65-7a59bcde2a0b",1,1,17may2019,1,2075,0,0,167
"May 17, 2019 5:34:37 PM","May 17, 2019","14:dd:a9:46:e4:16",4538,"5fbf64c","5fbf64c",0,1,1,1,1,21,5,5,5,6,"10 today             9.5 in 1 month","10 today             12.75 in 1 month","10 today             16 in 1 month","9 today             20.5 in 1 month","10 today             22.5 in 1 month","3 today …………………………….. 13 in 1 month","19 today …………………………….. 6 in 1 month","19 today …………………………….. 7 in 1 month","19 today …………………………….. 8 in 1 month","18 today …………………………….. 10.5 in 1 month",6,1040,,,"",0,1,"Lotion","KipandeYaSabuni",47,18,2580,1,1,90,60,120,0,75,60,90,1,83,75,90,0,79,75,83,1,81,79,83,0,80,79,81,1,80,85,75,1,,1,1,,,2,2,,0,,,,,,,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,1,0,0,"",2196,"",2455,350,175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","","","",20,0,0,2500,1,1250,2500,1,1875,2500,1,2188,2500,0,2188,2344,0,2188,2266,0,2188,2227,1,2208,2227,1,2218,2227,1,2223,2227,1,2225,2227,1,2226,2227,1,2227,2232,2222,1,,1,1,,,2,2,,1,2232,2237,2227,1,,1,1,,,2,2,,0,,,,,,,,,,,,,,,,,,,,,,,,,,2232,2232,7800,0,"",2,2,2,2,2,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,20,,150,0,,0,2,2,2,2,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,,2282,1,1,1,,2580,0,,,,,,,,,"","","","",,1,,,,"",0,,"",,,,,,"",,,,,,,,,,,,1,253,282,235,"uuid:b5deb915-58da-4435-97e7-8e3a2941d244",1905170644,"uuid:b5deb915-58da-4435-97e7-8e3a2941d244",0,1,17may2019,0,-348,0,0,235
"May 17, 2019 5:55:54 PM","May 17, 2019","8.68912E+14",10412,"21zz34a","21ee34a",1,1,1,1,1,14,6,15,2,4,"6 today             11.5 in 1 month","18 today             6.75 in 1 month","14 today             12 in 1 month","20 today             6.75 in 1 month","23 today             3 in 1 month","10 today …………………………….. 9.5 in 1 month","18 today …………………………….. 6.75 in 1 month","9 today …………………………….. 17 in 1 month","22 today …………………………….. 4.25 in 1 month","20 today …………………………….. 7.5 in 1 month",4,2971,,,"",0,1,"KipandeYaSabuni","Lotion",11,95,1165,0,1,90,60,120,1,105,90,120,1,113,105,120,1,117,113,120,1,119,117,120,1,120,119,120,1,120,120,115,1,,2,4,,,2,2,,1,120,120,115,1,,2,2,,,2,2,,1,120,120,115,1,,2,2,,,2,2,,1,120,120,115,1,2,2,,,2,2,,1,120,1,0,0,"",4059,"",4433,300,150,,,150,150,100,100,100,100,100,100,100,100,100,100,100,120,120,100,100,100,100,100,100,100,80,80,80,80,100,100,100,100,100,150,150,150,150,150,100,150,100,100,100,100,100,150,150,150,150,150,100,100,100,100,"Week 1: You would save 150 Ksh","Week 2: You would save 150 Ksh Week 3: You would save 100 Ksh Week 4: You would save 100 Ksh JULY Week 5: You would save 100 Ksh Week 6: You would save 100 Ksh Week 7: You would save 100 Ksh Week 8: You would save 100 Ksh Week 9: You would save","Week 13: You would save 100 Ksh SEPTEMBER Week 14: You would save 120 Ksh Week 15: You would save 120 Ksh Week 16: You would save 100 Ksh Week 17: You would save 100 Ksh Week 18: You would save 100 Ksh OCTOBER Week 19: You would save 100 Ksh We","JUNE: Week 1: You would save 150 Ksh Week 2: You would save 150 Ksh Week 3: You would save 100 Ksh Week 4: You would save 100 Ksh JULY Week 5: You would save 100 Ksh Week 6: You would save 100 Ksh Week 7: You would save 100 Ksh Week 8: You woul",2041,1,2500,5000,0,2500,3750,1,3125,3750,1,3438,3750,0,3438,3594,1,3516,3594,0,3516,3555,0,3516,3536,1,3526,3536,1,3531,3536,1,3534,3536,1,3535,3536,1,3536,3541,3531,1,,1,1,,,2,2,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3536,3536,5000,0,"",0,0,5,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,,120,0,,0,0,5,5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,,3586,1,1,1,,1165,,0,0,0,0,1165,0,0,0,"17/05/2019","May-17","May-24","Jun-14",,0,1,1165,,"",1,1,"",,,,,,"",,,,,,,,,,,,1,289,205,194,"uuid:c1032cdc-221d-42de-ad2a-c1bfddc74767",1905170644,"uuid:c1032cdc-221d-42de-ad2a-c1bfddc74767",1,1,17may2019,1,2371,0,0,205
"May 17, 2019 7:03:29 PM","May 17, 2019","3.544E+14",6423,"2214455","2214455",2,0,0,1,1,21,21,18,21,19,"21 today             4 in 1 month","23 today             3 in 1 month","23 today             3 in 1 month","23 today             3 in 1 month","23 today             3 in 1 month","3 today …………………………….. 13 in 1 month","3 today …………………………….. 18 in 1 month","6 today …………………………….. 20 in 1 month","3 today …………………………….. 28 in 1 month","5 today …………………………….. 30 in 1 month",4,178,,,"",0,1,"Lotion","KipandeYaSabuni",67,50,1125,1,1,90,60,120,0,75,60,90,0,68,60,75,0,64,60,68,0,62,60,64,0,61,60,62,0,60,65,55,1,,1,1,,,2,2,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,1,0,0,"",2578,"",2578,300,150,,,150,150,150,150,150,150,150,150,150,150,150,150,50,50,50,50,50,50,150,50,150,150,50,150,50,150,50,150,150,50,50,150,150,50,150,150,150,50,50,150,50,50,50,150,150,50,50,150,150,50,50,150,"Week 1: You would save 150 Ksh","Week 2: You would save 150 Ksh Week 3: You would save 150 Ksh Week 4: You would save 150 Ksh JULY Week 5: You would save 150 Ksh Week 6: You would save 150 Ksh Week 7: You would save 150 Ksh Week 8: You would save 150 Ksh Week 9: You would save","Week 13: You would save 50 Ksh SEPTEMBER Week 14: You would save 50 Ksh Week 15: You would save 50 Ksh Week 16: You would save 50 Ksh Week 17: You would save 50 Ksh Week 18: You would save 50 Ksh OCTOBER Week 19: You would save 150 Ksh Week 20:","JUNE: Week 1: You would save 150 Ksh Week 2: You would save 150 Ksh Week 3: You would save 150 Ksh Week 4: You would save 150 Ksh JULY Week 5: You would save 150 Ksh Week 6: You would save 150 Ksh Week 7: You would save 150 Ksh Week 8: You woul",796,0,0,2500,0,0,1250,1,625,1250,0,625,938,0,625,782,0,625,704,0,625,665,0,625,645,0,625,635,0,625,630,0,625,628,0,625,627,0,625,630,620,1,,1,1,,,2,2,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,625,625,5700,0,"",0,0,5,5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,,200,0,,0,0,0,0,1,2,2,15,0,0,0,0,0,0,0,0,0,0,0,0,20,,675,1,1,1,,1125,0,,,,,,,,,"","","","",,0,,,,"",0,,"",,,,,,"1",1,0,0,0,0,0,0,0,1,,,1,233,250,183,"uuid:fc3187c6-9257-49c2-8495-b0e6ac39e89e",1905170644,"uuid:fc3187c6-9257-49c2-8495-b0e6ac39e89e",1,0,17may2019,0,-500,0,0,183
