submissiondate	today	tablet_id	duration	respondent_id	respondent_id2	hhstove	a_resp	a_consent	a_noresp	a_noresp_why	c_charcoalkes	c_charcoalunits	g_char_yest	g_char_3days	g_char_week	g_stove	g_c5_4_payjikokoa	g_c5_4_payhow	g_c5_4_payhow_11	g_c5_4_payhow_12	g_c5_4_payhow_13	g_c5_4_payhow_21	g_c5_4_payhow_22	g_c5_4_payhow_23	g_c5_4_payhow_31	g_c5_4_payhow_32	g_c5_4_payhow_33	g_c5_4_payhow_34	g_c5_4_payhow_35	g_c5_4_payhow_97	g_stove_other	g_stove_other_0	g_stove_other_1	g_stove_other_2	g_stove_other_3	g_stove_other_4	g_stove_other_97	g_stovetype	g_jikokoa	g_c5_gone	g_c5_returned	g_c5_other	g_c5_1_pawn_amt	g_c5_1_sold_why	g_c5_1_sold_amt	g_c5_1_sold_money	g_replacejikokoa	g_c5_jiko	g_c5_3_work	g_c5_3_usage	g_c5_3_oldjiko	g_c5_3_oldjiko_amt	d2_anychildren	d2_cough_resp	d2_breath_resp	d2_cough_child	d2_breath_child	g1a	g1b	g1b_1	g1b_2	g1b_3	g1b_96	g1c	g2a	g2b	g2b2	g2c	sms_yesno	nosms_newnum	instanceid	formdef_version	key
"6/15/2020 10:08"	"15-Jun-20"	"(web)"	785	"caf3z35"	"caf3z35"	1	1	1			60	2	0	0	60			""																				""	1			""						1	0				1	0	0	0	0	1	"96"	0	0	0	1	0	0						"uuid:0f9ad75d-f3c2-4d7f-821f-1825ae2d0530"	2006121814	"uuid:0f9ad75d-f3c2-4d7f-821f-1825ae2d0530"
"6/15/2020 10:14"	"15-Jun-20"	"(web)"	1110	"17z7703"	"17z7703"	1	1	1			100	2	30	70	150			""																				""	1			""						0			4	250	1	0	0	0	0	1	"3"	0	0	1	0	0	3200	3000	1500		1	0	"uuid:97f2584e-1bc3-465c-8e9c-03f0ed6c754d"	2006121814	"uuid:97f2584e-1bc3-465c-8e9c-03f0ed6c754d"
"6/15/2020 10:29"	"15-Jun-20"	"(web)"	1354	"4183f04"	"4183f04"	0	1	1			100	1	60	360	540	0		""													0	1	0	0	0	0	0	""				""											1	1	1	1	1	1	"3"	0	0	1	0	0	0	3200	6200		1	0	"uuid:bcadca5b-d7ac-4a1e-b74f-58452b8e89fa"	2006121814	"uuid:bcadca5b-d7ac-4a1e-b74f-58452b8e89fa"
"6/15/2020 10:44"	"15-Jun-20"	"(web)"	606	"98a4c67"	"98a4c67"	1	1	1			120	2	40	120	280			""																				""	1			""						0			2		1	0	0	0	0	1	"96"	0	0	0	1	0	50				1	0	"uuid:c466e029-0b65-4dfb-89d2-3cebc6f313f7"	2006121814	"uuid:c466e029-0b65-4dfb-89d2-3cebc6f313f7"
"6/15/2020 10:59"	"15-Jun-20"	"(web)"	743	"d78582z"	"d78582z"	0	1	1			250	2	250	750	800	0		""													0	1	0	0	0	0	0	""				""											1	1	1	1	1	1	"96"	0	0	0	1	0	100				1	0	"uuid:d61a9746-eb06-4e6f-864f-52aee26a12f7"	2006121814	"uuid:d61a9746-eb06-4e6f-864f-52aee26a12f7"
"6/15/2020 11:10"	"15-Jun-20"	"(web)"	537	"383d6fz"	"383d6fz"	1	1	1			2600	4	40	120	280			""																				""	1			""						1	0				1	0	0	0	0	1	"3"	0	0	1	0	1	800	500	4000	6000	1	0	"uuid:fc34a7b9-e14a-468e-ad30-aa189c846b8f"	2006121814	"uuid:fc34a7b9-e14a-468e-ad30-aa189c846b8f"
"6/15/2020 11:29"	"15-Jun-20"	"(web)"	887	"f36z0f3"	"f36z0f3"	1	1	1			120	2	40	120	280			""																				""	1			""						0			2		1	0	0	0	0	1	"3"	0	0	1	0	1	0	4500	2000	-88	1	0	"uuid:dcb572f6-9911-4b44-9ba1-6625f87e03ee"	2006121814	"uuid:dcb572f6-9911-4b44-9ba1-6625f87e03ee"
"6/15/2020 11:42"	"15-Jun-20"	"(web)"	670	"0zd416c"	"0zd416c"	1	1	1			90	2	30	250	350			""																				""	1			""						1	0				1	0	0	0	0	1	"3"	0	0	1	0	1	2000	1500	5000	7000	1	0	"uuid:df24695b-70bc-4923-a53b-c1adc077f9c3"	2006121814	"uuid:df24695b-70bc-4923-a53b-c1adc077f9c3"
"6/15/2020 11:54"	"15-Jun-20"	"(web)"	566	"501b2z0"	"501b2z0"	1	1	1			100	2	30	90	210			""																				""	1			""						0			1		1	0	0	0	0	1	"3"	0	0	1	0	1	0	500	3000	0	1	0	"uuid:d0eab81a-6921-4101-9cb9-18456179de85"	2006121814	"uuid:d0eab81a-6921-4101-9cb9-18456179de85"
"6/15/2020 12:10"	"15-Jun-20"	"(web)"	481	"4156czc"	"4156czc"	0	1	1			100	2	200	600	1400	0		""													0	1	0	0	0	0	0	""				""											1	0	0	0	0	1	"96"	0	0	0	1	0	0				1	0	"uuid:8000b594-338d-4e2d-83d0-5d3d568509f4"	2006121814	"uuid:8000b594-338d-4e2d-83d0-5d3d568509f4"
