submissiondate	today	tabletid	duration	a_area	respondent_id	a_agree	durationintro	a_consent	a_comment	durationconsent	b_educ	b_male	b_residents	b_children	d_maincooking	d_mainlighting	cz1	d_anycharcoal	d_anykerosene	d_anyfirewood	d_anylpg	d_anycandles	d_anysolar	d_anyelec	d_anyphone	d_anyfree	cz2	d_charcoalbuy	d_charcoaluse	d_charcoalfree	d_kerosenebuy	d_kerosenefree	d_firewoodbuy	d_firewoodfree	d_lpgbuy	d_lpgfree	d_candlesbuy	d_candlesfree	d_solarbuy	d_elecbuy	d_phonebuy	c_charcoalfreq	c_charcoalseller	c_charcoalseller_2	c_charcoalseller_3	c_charcoalseller_4	c_charcoalseller_5	c_charcoalseller_6	c_charcoalseller_7	c_charcoalseller_12	c_charcoalseller_8	c_charcoalseller_9	c_charcoalseller_11	c_charcoalseller_13	c_charcoalseller_97	c_charcoalseller_96	c_charcoalseller_other	c_charcoalbought	c_charcoalbought_2	c_charcoalbought_3	c_charcoalbought_4	c_charcoalbought_5	c_charcoalbought_6	c_charcoalbought_7	c_charcoalbought_12	c_charcoalbought_8	c_charcoalbought_9	c_charcoalbought_11	c_charcoalbought_13	c_charcoalbought_97	c_charcoalbought_96	c_charcoalkes	c_charcoalunits	c_charcoalow	c_charcoalhigh	c_buymore	c_buymore_1	c_buymore_2	c_buymore_3	c_buymore_4	c_buymore_5	c_buymore_6	c_buymore_7	c_buymore_8	c_buymore_97	c_buymore_96	c_buymoreother	c_cookstoveprice	c_cookstoveyear	c_cookstovemonth	c_newcookstovewhen	c_newcookstovebuy	c_comment	b_rent	b_occupationself	b_occupationself_96	b_occupationself_1	b_occupationself_7	b_occupationself_33	b_occupationself_81	b_occupationself_82	b_occupationself_83	b_occupationself_84	b_occupationself_8	b_occupationself_9	b_occupationself_10	b_occupationself_32	b_occupationself_11	b_occupationself_12	b_occupationself_13	b_occupationself_14	b_occupationself_15	b_occupationself_16	b_occupationself_17	b_occupationself_18	b_occupationself_19	b_occupationself_199	b_occupationself_20	b_occupationself_21	b_occupationself_22	b_occupationself_23	b_occupationself_71	b_occupationself_72	b_occupationself_73	b_occupationself_74	b_occupationself_75	b_occupationself_79	b_occupationself_24	b_occupationself_25	b_occupationself_26	b_occupationself_27	b_occupationself_28	b_occupationself_29	b_occupationself_30	b_occupationself_31	b_occupationself_2	b_occupationself_3	b_occupationself_4	b_occupationself_5	b_occupationself_6	b_occupationself_61	b_occupationself_99	b_occupationself_50	b_occupationself_97	b_incomeself	b_occupationothers	b_occupationothers_96	b_occupationothers_1	b_occupationothers_7	b_occupationothers_33	b_occupationothers_81	b_occupationothers_82	b_occupationothers_83	b_occupationothers_84	b_occupationothers_8	b_occupationothers_9	b_occupationothers_10	b_occupationothers_32	b_occupationothers_11	b_occupationothers_12	b_occupationothers_13	b_occupationothers_14	b_occupationothers_15	b_occupationothers_16	b_occupationothers_17	b_occupationothers_18	b_occupationothers_19	b_occupationothers_199	b_occupationothers_20	b_occupationothers_21	b_occupationothers_22	b_occupationothers_23	b_occupationothers_71	b_occupationothers_72	b_occupationothers_73	b_occupationothers_74	b_occupationothers_75	b_occupationothers_79	b_occupationothers_24	b_occupationothers_25	b_occupationothers_26	b_occupationothers_27	b_occupationothers_28	b_occupationothers_29	b_occupationothers_30	b_occupationothers_31	b_occupationothers_2	b_occupationothers_3	b_occupationothers_4	b_occupationothers_5	b_occupationothers_6	b_occupationothers_61	b_occupationothers_99	b_occupationothers_50	b_occupationothers_97	b_incomeothers	b_bigpurchase	b_bigpurchase_0	b_bigpurchase_1	b_bigpurchase_11	b_bigpurchase_2	b_bigpurchase_31	b_bigpurchase_32	b_bigpurchase_33	b_bigpurchase_4	b_bigpurchase_5	b_bigpurchase_6	b_bigpurchase_7	b_bigpurchase_8	b_bigpurchase_96	b_bigpurchase_97	g1a	g1a2	g1b	g1b_1	g1b_2	g1b_3	g1b_96	g1c	g1d	g1d_1	g1d_2	g1d_3	g1d_4	g1d_5	g1d_6	g1d_96	g1e	g1e_1	g1e_2	g1e_3	g1e_4	g1e_5	g1e_6	g1e_96	g1f	g1g1	g1g	g1h	g1i	g2d	g2d_1	g2d_2	g2d_3	g2d_4	g2d_5	g2d_6	g2d_7	g2d_8	g2d_9	g2d_10	g2d_97	g2g	g2g_1	g2g_2	g2g_3	g2g_4	g2g_97	g2h	g2h_1	g2h_2	g2h_3	g2h_4	g2h_5	g2h_6	g2h_7	g2h_8	g2h_9	g2h_10	g2h_97	g2i	g2i_1	g2i_2	g2i_3	g2i_4	g2i_5	g2i_6	g2i_7	g2i_8	g2i_9	g2i_10	g2i_97	g2a	g2b	g2b2	g2c	g2e	g2f	d_attributes_easy	d_attributes_taste	d_attributes_smoke	d_attributes_cheap	d_attributes_save	d_attributes_looks	d_alwaystaker	durationsurvey	math1	math2	math3	math4	math5	math6	math7	math8	comment_math	durationmath	d_awareness	d_awareness_0	d_awareness_20	d_awareness_21	d_awareness_22	d_awareness_3	d_awareness_4	d_awareness_5	d_awareness_6	d_awareness_7	d_awareness_8	d_awareness_9	d_awareness_10	d_awareness_97	d_bestthings	d_bestthings_1	d_bestthings_2	d_bestthings_3	d_bestthings_4	d_bestthings_5	d_bestthings_6	d_bestthings_7	d_bestthings_97	d_bestthings_99	d_otherthings	d_taste	d_tastetext	d_jikokoalast	d2_cough_resp	d2_breath_resp	d2_hours_resp	d2_cough_child	d2_breath_child	d2_hours_child	f_health_trad_adult	f_health_trad_child	f_health_longterm	f_health_jikokoa	f_health_work	d_beanmax	d_beanmin	d_beans1a	d_beans2a	d_beans3a	d_beans4a	d_beans5a	d_beans6a	d_beans7a	d_beans8a	d_beans9a	d_beans10a	d_beans11a	d_beans12a	d_beans13a	d_beans14a	d_beans15a	d_beans16a	d_beans17a	d_beans18a	d_beans19a	d_beans20a	d_beans1	d_beans2	d_beans3	d_beans4	d_beans5	d_beans6	d_beans7	d_beans8	d_beans9	d_beans10	d_beans11	d_beans12	d_beans13	d_beans14	d_beans15	d_beans16	d_beans17	d_beans18	d_beans19	d_beans20	d_beanstotal	beans_no20	durationbeliefs	prac_decisions1	prac_decisions2	prac_decisions3	decisions1	decisions2	decisions3	decisions4	decisions5	durationeffort	g_invest	g_outcome	fixed	win	totallose	totalwin	comment_risk	durationrisk	numbersame	durationtotal	instanceid	formdef_version	key	a_village
"Apr 17, 2019 2:06:56 PM"	"Apr 17, 2019"	"3.59E+14"	2531	"Mukuru"	"70b4629"	1	170	1	""	452	44	0	5	3	33	1	"Stove, lighting a candle"										""																""														""	""																		""											""						""		""																																																																																																						""																	""						""																					""																		""												""																									803									""	803	""														""										""		""																																																									803									803							""	803	1	2508	"uuid:e59a974a-d686-4e56-9844-2321e8c8753f"	1904161909	"uuid:e59a974a-d686-4e56-9844-2321e8c8753f"	"."
"Apr 17, 2019 2:34:49 PM"	"Apr 17, 2019"	"3.55E+14"	6122	"Kayole"	"23234c9"	1	183	1	""	604	44	0	4	2	3	1	""	1	1	0	0	1	0	1	0	0	""	360	360		200						20			0		3	"96"	0	0	0	0	0	0	0	0	0	0	0	0	1	""	"96"	0	0	0	0	0	0	0	0	0	0	0	0	1	90	2	80	100	"1 2"	1	1	0	0	0	0	0	0	0	0	""	250	2019	1	48	1	""	3500	"12"	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	500	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1200	"6"	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	"3"	0	0	1	0	0	"96"	0	0	0	0	0	0	1	96	0	0	0	0	0	0	1	3	500	4	2	1	""												1	1	0	0	0	0	""												"6"	0	0	0	0	0	1	0	0	0	0	0	0	13000	20				2	0	4	0	4	2	0	2671	105	208	1011.75	241850	1665	200	858.5	-999	""	2671	"3"	0	0	0	0	1	0	0	0	0	0	0	0	0	"1"	1	0	0	0	0	0	0	0	0	""	3	""	104	0	0	0	1	1	0	2	4	1	3	50	18000	15000													7	4	9						0	0	0	0	0	0	0	0	0	0	0	0	7	4	9	0	0	0	0	0	20		2671	6	9	9	21	14	5	17	14	2671	200	1	200	600	300	900	""	2671	1	6116	"uuid:0f03a64a-4235-4e36-a4f1-38fd5e2b0173"	1904161909	"uuid:0f03a64a-4235-4e36-a4f1-38fd5e2b0173"	"."
"Apr 17, 2019 2:55:03 PM"	"Apr 17, 2019"	"3.56E+14"	6099	"Mukuru"	"ac6c9c7"	1	374	1	""	596	44	0	4	2	3	1	"Lpg"	1	0	0	1	1	0	1	1	0	""	300	300						70		20			50	20	3	"96"	0	0	0	0	0	0	0	0	0	0	0	0	1	""	"96"	0	0	0	0	0	0	0	0	0	0	0	0	1	100	1	100	120	"5 97"	0	0	0	0	1	0	0	0	1	0	"When boiling foods like githeri, boiling water for drinking"	280	2018	12	16	3	""	12000	"8 97"	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1000	8	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2000	"0 7"	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	"3"	0	0	1	0	1	"96"	0	0	0	0	0	0	1	96	0	0	0	0	0	0	1	1	5000	1	1	1	""												97	0	0	0	0	1	""												"1"	1	0	0	0	0	0	0	0	0	0	0	2000	40000	8000	30000			3	1	2	1	4	1	0	2683	105	208	1011.75	2094	292.34	110	935	1445	""	3811	"7"	0	0	0	0	0	0	0	0	1	0	0	0	0	"1"	1	0	0	0	0	0	0	0	0	"Quickly cooks food, durable, uses less charcoal"	5	"Produces less smoke hence better taste"	1	0	1	1	1	0	0	5	5	4	2	1300	10000	9000								20													0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	20		4638	18	12	17	15	13	12	11	10	5447	50	1	350	150	450	600	""	5731	1	6094	"uuid:b2135b93-3f58-4ccc-9ffc-759fb6f36c4c"	1904161909	"uuid:b2135b93-3f58-4ccc-9ffc-759fb6f36c4c"	"."
"Apr 17, 2019 3:31:25 PM"	"Apr 17, 2019"	"8.66E+14"	7796	"Mukuru"	"313e1ac"	1	160	1	""	870	37	0	2	0	3	3	""	1	1	0	0	1	0	1	0	0	"None"	700	700		100						40			250		2	"96"	0	0	0	0	0	0	0	0	0	0	0	0	1	""	"96"	0	0	0	0	0	0	0	0	0	0	0	0	1	100	1	100	100	"96"	0	0	0	0	0	0	0	0	0	1	""	250	2008	12	12	1	""	4000	"96"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	350	"7 8"	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	"96"	0	0	0	1	0	"96"	0	0	0	0	0	0	1	96	0	0	0	0	0	0	1	3	-999	5	5	5	""												2	0	1	0	0	0	""												"1"	1	0	0	0	0	0	0	0	0	0	0	-88						2	1	3	2	4	0	0	3750	105	208	1011.75	55.5	0	0	0	0	""	4602	"3 6"	0	0	0	0	1	0	0	1	0	0	0	0	0	"1 5 7"	1	0	0	0	1	0	1	0	0	""	5	"Due to less smoke"	52	0	0	0				5	4	4	1	50	18250	10950									5	5	2	2	2	2	2						0	0	0	0	0	0	0	0	5	5	2	2	2	2	2	0	0	0	0	0	20		5446	1	1	14	1	1	14	5	5	7155	400	1	0	1200	100	1300	""	7554	1	7794	"uuid:d2833ed9-3c0d-496e-a1a7-47e2c8213ef7"	1904161909	"uuid:d2833ed9-3c0d-496e-a1a7-47e2c8213ef7"	"."
"Apr 17, 2019 3:31:26 PM"	"Apr 17, 2019"	"8.66E+14"	2423	"Mukuru"	"b11c020"	1	66	1	""	195	3	0	4	2	3	3	""	1	0	0	0	1	0	1	0	0	""	700	700								10			10		3	"96"	0	0	0	0	0	0	0	0	0	0	0	0	1	""	"96"	0	0	0	0	0	0	0	0	0	0	0	0	1	100	1	80	100	"96"	0	0	0	0	0	0	0	0	0	1	""	250	2017	6	1	1	""	4500	"97"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	300	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1000	"6"	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	"3"	0	0	1	0	0	"1"	1	0	0	0	0	0	0	96	0	0	0	0	0	0	1	2	5000	5	5	5	"6"	0	0	0	0	0	1	0	0	0	0	0							"1"	1	0	0	0	0	0	0	0	0	0	0	"1"	1	0	0	0	0	0	0	0	0	0	0	2000	2000	4000		0		3	0	4	0	5	0	1	2090									""	2090	""														""										""		""																																																									2090									2090							""	2090	1	2419	"uuid:38318bb1-3d31-4144-b262-52e7c64108ce"	1904161909	"uuid:38318bb1-3d31-4144-b262-52e7c64108ce"	"."
"Apr 17, 2019 3:49:51 PM"	"Apr 17, 2019"	"8.69E+14"	8670	"Mukuru"	"21ee34a"	1	125	1	""	1061	44	0	5	2	3	1	""	1	0	0	1	0	0	1	0	1	""	300	300	0					218	0				125		3	"96"	0	0	0	0	0	0	0	0	0	0	0	0	1	""	"96"	0	0	0	0	0	0	0	0	0	0	0	0	1	100	1	80	120	"6 8"	0	0	0	0	0	1	0	1	0	0	""	250	2018	2	8	1	""	5200	"96"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1000	"7 8"	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	1	"3"	0	0	1	0	1	"3"	0	0	1	0	0	0	0	3	0	0	1	0	0	0	0	3	2400	5	2	2	"6"	0	0	0	0	0	1	0	0	0	0	0							""												"6"	0	0	0	0	0	1	0	0	0	0	0	0	1000	5000	0		5000	2	3	2	1	2	2	0	1334	105	208	1011.75	2094	1665	430	935	913.75	""	1334	"9"	0	0	0	0	0	0	0	0	0	0	1	0	0	"1"	1	0	0	0	0	0	0	0	0	""	4	""	104	0	0	0	0	0	0	3	3	1	2	0	8000	4500				3	8	5	4														0	0	0	3	8	5	4	0	0	0	0	0	0	0	0	0	0	0	0	0	20		1334	17	19	15	18	6	10	4	1	1334	100	1	300	300	400	700	""	1334	1	7666	"uuid:473dd84a-a790-4063-bdae-7f39b110017e"	1904161909	"uuid:473dd84a-a790-4063-bdae-7f39b110017e"	"."
"Apr 17, 2019 3:51:46 PM"	"Apr 17, 2019"	"3.56E+14"	7676	"Mukuru"	"fb240a2"	1	47	1	""	70	3	0	5	3	3	1	""	1	0	0	0	0	0	1	1	0	""	560	560											50	50	2	"96"	0	0	0	0	0	0	0	0	0	0	0	0	1	"Makaa"	"96"	0	0	0	0	0	0	0	0	0	0	0	0	1	80	1	50	80	"6"	0	0	0	0	0	1	0	0	0	0	""	500	2016	2	12	0	""	4200	"19"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	200	61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	"6"	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	"3"	0	0	1	0	0	"96"	0	0	0	0	0	0	1	96	0	0	0	0	0	0	1	1	3000	5	5	4	""												2	0	1	0	0	0	""												"1"	1	0	0	0	0	0	0	0	0	0	0		500	3000				5	0	4	3	0	0	0	2134	105	208	1011.75	1468	2000	234	935	913.75	""	2683	"3"	0	0	0	0	1	0	0	0	0	0	0	0	0	"1"	1	0	0	0	0	0	0	0	0	""	4	""	52	1	1	0	1	1	0	5	5	3	1	100	4800	2400		9	0	11																	0	9	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20		3792				9	5	15	13	5	4941	50	1	350	150	450	600	""	5600	1	7673	"uuid:63a090b8-27c2-446e-bb7f-9445a5b13c9d"	1904161909	"uuid:63a090b8-27c2-446e-bb7f-9445a5b13c9d"	"."
"Apr 17, 2019 4:23:37 PM"	"Apr 17, 2019"	"bc:44:34:48:a0:8b"	5543	"Mukuru"	"ec896cf"	1	104	1	""	171	3	0	4	1	3	5	""	1	1	0	0	0	0	1	0	0	""	500	500		0									200		2	"96"	0	0	0	0	0	0	0	0	0	0	0	0	1	""	"96"	0	0	0	0	0	0	0	0	0	0	0	0	1	90	1	80	90	"2"	0	1	0	0	0	0	0	0	0	0	""	250	2018	8	52	2	""	5000	"7"	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	500	96	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"6"	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	"1"	1	0	0	0	0	"3 6"	0	0	1	0	0	1	0	96	0	0	0	0	0	0	1	2	0	5	5	4	"1"	1	0	0	0	0	0	0	0	0	0	0							"1"	1	0	0	0	0	0	0	0	0	0	0	"4"	0	0	0	1	0	0	0	0	0	0	0	0	1000	10000			2000	1	1	1	1	7	1	0	353	105	208	1235	9075	555	450	935	925	""	353	"3 6 7"	0	0	0	0	1	0	0	1	1	0	0	0	0	"1"	1	0	0	0	0	0	0	0	0	""	5	""	52	1	1	24	0	1	0	2	2	2	3	700	16800	10000									20	0	0	0	0	0							0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	20		353	2	7	9	1	3	2	2	6	353	100	1	300	300	400	700	""	353	1	5541	"uuid:7ec8a65e-9662-4132-bad6-230b09d086e6"	1904161909	"uuid:7ec8a65e-9662-4132-bad6-230b09d086e6"	"."
"Apr 17, 2019 4:23:38 PM"	"Apr 17, 2019"	"bc:44:34:48:a0:8b"	7375	"Mukuru"	"f36e0f3"	1	37	1	""	117	44	0	4	2	3	1	""	1	1	0	0	0	0	1	0	0	""	400	400		80									150		9	"2"	1	0	0	0	0	0	0	0	0	0	0	0	0	""	"96"	0	0	0	0	0	0	0	0	0	0	0	0	1	1000	4	1000	1200	"4 8"	0	0	0	1	0	0	0	1	0	0	""	150	2017	1	16	1	""	7100	"19"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1200	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	600	"0 6"	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	"3"	0	0	1	0	1	"2 6"	0	1	0	0	0	1	0	3	0	0	1	0	0	0	0	2	6000	5	5	5	"1"	1	0	0	0	0	0	0	0	0	0	0							"1"	1	0	0	0	0	0	0	0	0	0	0	"1"	1	0	0	0	0	0	0	0	0	0	0	3950	150	1200	55000	4000		0	6	0	0	6	0	0	2503	105	208	123.5	1770	890	670	950	92.5	""	4022	"3 7 9"	0	0	0	0	1	0	0	0	1	0	1	0	0	"1"	1	0	0	0	0	0	0	0	0	""	3	""	52	0	0	0	1	0	0	2	2	2	2	2000	20000	15000													20	0	0	0					0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	20		4890	2	1	1	1	1	1	1	1	6116	200	0	200	600	300	900	""	6484	1	7373	"uuid:6f063900-bdef-478a-a358-981544450f07"	1904161909	"uuid:6f063900-bdef-478a-a358-981544450f07"	"."
"Apr 17, 2019 4:44:31 PM"	"Apr 17, 2019"	"3.59E+14"	3257	"Mukuru"	"f46e29d"	1	171	1	"Village (AA)"	456	44	0	4	2	3	1	"LPG but rarely used."	1	1	0	1	0	0	1	0	0	"Paraffin lamp when there is no electricity"	400	400		0				40					120		3	"96"	0	0	0	0	0	0	0	0	0	0	0	0	1	""	"96"	0	0	0	0	0	0	0	0	0	0	0	0	1	100	1	50	100	"4 97"	0	0	0	1	0	0	0	0	1	0	"When I need to do boiling of cerials for cooking."	350	2012	5	4	1	""	4500	"97"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1000	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-888	"6 7 8"	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	"1 3"	1	0	1	0	1	"1 3 6"	1	0	1	0	0	1	0	96	0	0	0	0	0	0	1	2	20000	4	4	2	"8"	0	0	0	0	0	0	0	1	0	0	0							"1"	1	0	0	0	0	0	0	0	0	0	0	"1"	1	0	0	0	0	0	0	0	0	0	0		3500	36000	50000	0	500	2	4	1	1	4	0	1	1117									""	1117	""														""										""		""																																																									1117									1117							""	1117	1	3254	"uuid:d5eb4923-1fbd-4c97-80d6-3413d0c9ebcc"	1904161909	"uuid:d5eb4923-1fbd-4c97-80d6-3413d0c9ebcc"	"."
