submissiondate	today	tabletid	duration	a_area	respondent_id	a_village	a_agree	durationintro	a_consent	a_comment	durationconsent	b_educ	b_male	b_residents	b_children	d_maincooking	d_mainlighting	cz1	d_anycharcoal	d_anykerosene	d_anyfirewood	d_anylpg	d_anycandles	d_anysolar	d_anyelec	d_anyphone	d_anyfree	cz2	d_charcoalbuy	d_charcoaluse	d_charcoalfree	d_kerosenebuy	d_kerosenefree	d_firewoodbuy	d_firewoodfree	d_lpgbuy	d_lpgfree	d_candlesbuy	d_candlesfree	d_solarbuy	d_elecbuy	d_phonebuy	c_charcoalfreq	c_charcoalseller	c_charcoalseller_2	c_charcoalseller_3	c_charcoalseller_4	c_charcoalseller_5	c_charcoalseller_6	c_charcoalseller_7	c_charcoalseller_12	c_charcoalseller_8	c_charcoalseller_9	c_charcoalseller_11	c_charcoalseller_13	c_charcoalseller_97	c_charcoalseller_96	c_charcoalseller_other	c_charcoalbought	c_charcoalbought_2	c_charcoalbought_3	c_charcoalbought_4	c_charcoalbought_5	c_charcoalbought_6	c_charcoalbought_7	c_charcoalbought_12	c_charcoalbought_8	c_charcoalbought_9	c_charcoalbought_11	c_charcoalbought_13	c_charcoalbought_97	c_charcoalbought_96	c_charcoalkes	c_charcoalunits	c_charcoalow	c_charcoalhigh	c_buymore	c_buymore_1	c_buymore_2	c_buymore_3	c_buymore_4	c_buymore_5	c_buymore_6	c_buymore_7	c_buymore_8	c_buymore_97	c_buymore_96	c_buymoreother	c_cookstoveprice	c_cookstoveyear	c_cookstovemonth	c_newcookstovewhen	c_newcookstovebuy	c_comment	b_rent	b_occupationself	b_occupationself_96	b_occupationself_1	b_occupationself_7	b_occupationself_33	b_occupationself_81	b_occupationself_82	b_occupationself_83	b_occupationself_84	b_occupationself_8	b_occupationself_9	b_occupationself_10	b_occupationself_32	b_occupationself_11	b_occupationself_12	b_occupationself_13	b_occupationself_14	b_occupationself_15	b_occupationself_16	b_occupationself_17	b_occupationself_18	b_occupationself_19	b_occupationself_199	b_occupationself_20	b_occupationself_21	b_occupationself_22	b_occupationself_23	b_occupationself_71	b_occupationself_72	b_occupationself_73	b_occupationself_74	b_occupationself_75	b_occupationself_79	b_occupationself_24	b_occupationself_25	b_occupationself_26	b_occupationself_27	b_occupationself_28	b_occupationself_29	b_occupationself_30	b_occupationself_31	b_occupationself_2	b_occupationself_3	b_occupationself_4	b_occupationself_5	b_occupationself_6	b_occupationself_61	b_occupationself_99	b_occupationself_50	b_occupationself_97	b_incomeself	b_occupationothers	b_occupationothers_96	b_occupationothers_1	b_occupationothers_7	b_occupationothers_33	b_occupationothers_81	b_occupationothers_82	b_occupationothers_83	b_occupationothers_84	b_occupationothers_8	b_occupationothers_9	b_occupationothers_10	b_occupationothers_32	b_occupationothers_11	b_occupationothers_12	b_occupationothers_13	b_occupationothers_14	b_occupationothers_15	b_occupationothers_16	b_occupationothers_17	b_occupationothers_18	b_occupationothers_19	b_occupationothers_199	b_occupationothers_20	b_occupationothers_21	b_occupationothers_22	b_occupationothers_23	b_occupationothers_71	b_occupationothers_72	b_occupationothers_73	b_occupationothers_74	b_occupationothers_75	b_occupationothers_79	b_occupationothers_24	b_occupationothers_25	b_occupationothers_26	b_occupationothers_27	b_occupationothers_28	b_occupationothers_29	b_occupationothers_30	b_occupationothers_31	b_occupationothers_2	b_occupationothers_3	b_occupationothers_4	b_occupationothers_5	b_occupationothers_6	b_occupationothers_61	b_occupationothers_99	b_occupationothers_50	b_occupationothers_97	b_incomeothers	b_bigpurchase	b_bigpurchase_0	b_bigpurchase_1	b_bigpurchase_11	b_bigpurchase_2	b_bigpurchase_31	b_bigpurchase_32	b_bigpurchase_33	b_bigpurchase_4	b_bigpurchase_5	b_bigpurchase_6	b_bigpurchase_7	b_bigpurchase_8	b_bigpurchase_96	b_bigpurchase_97	g1a	g1a2	g1b	g1b_1	g1b_2	g1b_3	g1b_96	g1c	g1d	g1d_1	g1d_2	g1d_3	g1d_4	g1d_5	g1d_6	g1d_96	g1e	g1e_1	g1e_2	g1e_3	g1e_4	g1e_5	g1e_6	g1e_96	g1f	g1g1	g1g	g1h	g1i	g2d	g2d_1	g2d_2	g2d_3	g2d_4	g2d_5	g2d_6	g2d_7	g2d_8	g2d_9	g2d_10	g2d_97	g2g	g2g_1	g2g_2	g2g_3	g2g_4	g2g_97	g2h	g2h_1	g2h_2	g2h_3	g2h_4	g2h_5	g2h_6	g2h_7	g2h_8	g2h_9	g2h_10	g2h_97	g2i	g2i_1	g2i_2	g2i_3	g2i_4	g2i_5	g2i_6	g2i_7	g2i_8	g2i_9	g2i_10	g2i_97	g2a	g2b	g2b2	g2c	g2e	g2f	d_attributes_easy	d_attributes_taste	d_attributes_smoke	d_attributes_cheap	d_attributes_save	d_attributes_looks	d_alwaystaker	durationsurvey	math1	math2	math3	math4	math5	math6	math7	math8	comment_math	durationmath	d_awareness	d_awareness_0	d_awareness_20	d_awareness_21	d_awareness_22	d_awareness_3	d_awareness_4	d_awareness_5	d_awareness_6	d_awareness_7	d_awareness_8	d_awareness_9	d_awareness_10	d_awareness_97	d_bestthings	d_bestthings_1	d_bestthings_2	d_bestthings_3	d_bestthings_4	d_bestthings_5	d_bestthings_6	d_bestthings_7	d_bestthings_97	d_bestthings_99	d_otherthings	d_taste	d_tastetext	d_jikokoalast	d2_cough_resp	d2_breath_resp	d2_hours_resp	d2_cough_child	d2_breath_child	d2_hours_child	f_health_trad_adult	f_health_trad_child	f_health_longterm	f_health_jikokoa	f_health_work	d_beanmax	d_beanmin	d_beans1a	d_beans2a	d_beans3a	d_beans4a	d_beans5a	d_beans6a	d_beans7a	d_beans8a	d_beans9a	d_beans10a	d_beans11a	d_beans12a	d_beans13a	d_beans14a	d_beans15a	d_beans16a	d_beans17a	d_beans18a	d_beans19a	d_beans20a	d_beans1	d_beans2	d_beans3	d_beans4	d_beans5	d_beans6	d_beans7	d_beans8	d_beans9	d_beans10	d_beans11	d_beans12	d_beans13	d_beans14	d_beans15	d_beans16	d_beans17	d_beans18	d_beans19	d_beans20	d_beanstotal	beans_no20	durationbeliefs	prac_decisions1	prac_decisions2	prac_decisions3	decisions1	decisions2	decisions3	decisions4	decisions5	durationeffort	g_invest	g_outcome	fixed	win	totallose	totalwin	comment_risk	durationrisk	numbersame	durationtotal	instanceid	formdef_version	key
"Apr 23, 2019 1:21:21 PM"	"Apr 23, 2019"	"3.59973E+14"	6936	"Mukuru"	"f229ed4"	"WapewapeAandB"	1	953	1		982	44	0	4	2	3	1	"Occasionally uses Kerosene and LPG"	1	1	0	1	1	0	1	0	0	""	560	560		280				200		40			100		2	"96"	0	0	0	0	0	0	0	0	0	0	0	0	1	"He only sells charcoal"	"96"	0	0	0	0	0	0	0	0	0	0	0	0	1	80	1	80	85	"2 5"	0	1	0	0	1	0	0	0	0	0	""	580	2017	98	104	1	"She has had one jiko for two years"	1800	96	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3000	"1 7 8"	0	1	0	0	0	0	0	0	0	0	1	1	0	0	1	1	"1"	1	0	0	0	1	"96"	0	0	0	0	0	0	1	"96"	0	0	0	0	0	0	1	1	1000	1	1	1	""												"3"	0	0	1	0	0	""												"4"	0	0	0	1	0	0	0	0	0	0	0	2000	2000	2000	7000			2	2	2	3	2	1	0	2559	105	208	123.5	10470	-999	-999	-999	-999	""	2559	"97"	0	0	0	0	0	0	0	0	0	0	0	0	1	"7 99"	0	0	0	0	0	0	1	0	1	"Uses less charcoal"	4	"Taste a little better"	104	0	0	0	1	0	0	2	2	2	3	0	13440	6720						4	4	3	3	3	3										0	0	0	0	0	4	4	3	3	3	3	0	0	0	0	0	0	0	0	0	20		2559	17	19	14	14	17	15	19	20	2559	50	0	350	150	450	600		2559	1	6671	"uuid:16d0748b-1a6b-4bc4-9b55-f1fde89134cb"	1904172137	"uuid:16d0748b-1a6b-4bc4-9b55-f1fde89134cb"
"Apr 23, 2019 1:36:07 PM"	"Apr 23, 2019"	"3.55912E+14"	4656	"Mukuru"	"27ac242"	"48AandB"	1	135	1		165	44	0	4	2	3	1	"Solar when there is no electricity"	1	0	0	0	0	1	1	0	0	""	300	300										0	70		2	"2"	1	0	0	0	0	0	0	0	0	0	0	0	0	""	"2"	1	0	0	0	0	0	0	0	0	0	0	0	0	30	2	30	40	"4 6"	0	0	0	1	0	1	0	0	0	0	"Sometimes the charcoal is not of good quality so you end up buying more to be able cook"	180	2017	98	8	1	""	3500	8	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	500	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	888	"96"	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	"3"	0	0	1	0	1	"96"	0	0	0	0	0	0	1	"96"	0	0	0	0	0	0	1	2	999	2	2	2	""												"2"	0	1	0	0	0	"1"	1	0	0	0	0	0	0	0	0	0	0	"1"	1	0	0	0	0	0	0	0	0	0	0	6000	1000	20000	30000			0	0	0	6	6	0	0	165	105	208	1101.75	2094	1461.7	999	999	999	""	165	"3 7"	0	0	0	0	1	0	0	0	1	0	0	0	0	"1"	1	0	0	0	0	0	0	0	0	""	3	"Food taste is about your cooking skills."	52	0	0	99	0	0	99	4	4	1	4	0	7200	5000					20	0															0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20		165	19	19	19	19	19	19	19	19	165	100	1	300	300	400	700		165	1	165	"uuid:c2a3775f-59bd-4ce5-a83a-54231cb8557f"	1904172137	"uuid:c2a3775f-59bd-4ce5-a83a-54231cb8557f"
"Apr 23, 2019 2:03:11 PM"	"Apr 23, 2019"	"3.56213E+14"	4762	"Mukuru"	"b021ab2"	"WapewapeAandB"	1	325	1		526	10	1	5	3	3	5	""	1	1	0	0	0	0	0	1	0	""	350	350		400										70	2	"96"	0	0	0	0	0	0	0	0	0	0	0	0	1	""	"96"	0	0	0	0	0	0	0	0	0	0	0	0	1	50	1	50	100	"97"	0	0	0	0	0	0	0	0	1	0	"In the evening when warming water for bathing"	150	2014	98	52	1	""	5000	8	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	300	96	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"7"	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	"1 2 3"	1	1	1	0	1	"1"	1	0	0	0	0	0	0	"96"	0	0	0	0	0	0	1	3	14000	5	5	5	"1"	1	0	0	0	0	0	0	0	0	0	0	""						""												"1"	1	0	0	0	0	0	0	0	0	0	0	6000	11200	21000	28000	165000		4	2	2	0	4	0	0	1992	105	208	1011.75	2094	1665	490	935	856.375	""	2473	"0"	1	0	0	0	0	0	0	0	0	0	0	0	0	"97"	0	0	0	0	0	0	0	1	0	""	3	""	52	0	1	0	0	0	0	4	2	5	1	0	9100	6500						6	6	8													0	0	0	0	0	6	6	8	0	0	0	0	0	0	0	0	0	0	0	0	20		3267	7	10	10	8	6	6	8	5	3991	250	0	150	750	250	1000		4293	3	4759	"uuid:70c4657a-2c75-43c3-8c1b-926e152ea78a"	1904172137	"uuid:70c4657a-2c75-43c3-8c1b-926e152ea78a"
"Apr 23, 2019 2:20:41 PM"	"Apr 23, 2019"	"8.65566E+14"	5105	"Mukuru"	"97e1386"	"WapewapeAandB"	1	131	1		227	3	0	7	5	3	3	""	1	1	0	0	1	0	1	0	0	""	350	350		210						5			100		2	"96"	0	0	0	0	0	0	0	0	0	0	0	0	1	""	"96"	0	0	0	0	0	0	0	0	0	0	0	0	1	30	6	30	30	"8"	0	0	0	0	0	0	0	1	0	0	""	300	2017	98	12	1	""	2500	96	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	333	"96"	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	"96"	0	0	0	1	0	"96"	0	0	0	0	0	0	1	"96"	0	0	0	0	0	0	1	3	0	5	5	5	""												"2"	0	1	0	0	0	""												"1"	1	0	0	0	0	0	0	0	0	0	0							0	0	4	0	8	0	0	1651	105	208	1567.5	-999	-999	-999	-999	-999	"Did not attempt questions 5-8"	2187	"3"	0	0	0	0	1	0	0	0	0	0	0	0	0	"1"	1	0	0	0	0	0	0	0	0	""	4	""	104	1	1	0	0	0	0	4	4	4	4	25	9125	7000						20	0	0													0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20		3116	1			1	3	2	1	1	4433	0	0	400	0	500	500		4728	1	5104	"uuid:d81a31d4-2bbb-4b06-890c-674eccc1c2d9"	1904172137	"uuid:d81a31d4-2bbb-4b06-890c-674eccc1c2d9"
"Apr 23, 2019 2:20:41 PM"	"Apr 23, 2019"	"8.65566E+14"	2023	"Mukuru"	"8b97ac4"	"WapewapeAandB"	1	14	1		690	32	0	6	4	3	3	""	1	1	0	0	1	0	1	0	0	""	500	500		200						10			100		2	"96"	0	0	0	0	0	0	0	0	0	0	0	0	1	""	"96"	0	0	0	0	0	0	0	0	0	0	0	0	1	100	1	100	100	"2 8"	0	1	0	0	0	0	0	1	0	0	""	300	2018	7	104	1	"Her jiko lasts more than a year"	2000	96	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	500	"31"	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	"96"	0	0	0	1	0	"96"	0	0	0	0	0	0	1	"96"	0	0	0	0	0	0	1	1	2000	5	5	2	""												"2"	0	1	0	0	0	""												"1"	1	0	0	0	0	0	0	0	0	0	0	0						2	3	0	3	4	0	1	1848									""	1848	""														""										""		""																																																									1848									1848								1848	1	2022	"uuid:afb18f65-5f6f-4c82-8e94-309ad7dac620"	1904172137	"uuid:afb18f65-5f6f-4c82-8e94-309ad7dac620"
"Apr 23, 2019 2:20:42 PM"	"Apr 23, 2019"	"8.65566E+14"	1057	"Mukuru"	"e2cce72"	"WapewapeAandB"	1	75	1		140	3	0	7	5	3	3	""	1	1	0	0	0	0	1	0	0	""	350	350		200									100		1	"96"	0	0	0	0	0	0	0	0	0	0	0	0	1	""	"96"	0	0	0	0	0	0	0	0	0	0	0	0	1	50	6	50	50	"4 7 8"	0	0	0	1	0	0	1	1	0	0	""	250	2018	6	4	1	""	1800	33	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	500	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	"96"	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	"96"	0	0	0	1	0	"96"	0	0	0	0	0	0	1	"96"	0	0	0	0	0	0	1	2	-999	4	4	4	""												"2"	0	1	0	0	0	"6"	0	0	0	0	0	1	0	0	0	0	0	"6"	0	0	0	0	0	1	0	0	0	0	0							2	2	2	2	2	2	1	1002									""	1002	""														""										""		""																																																									1002									1002								1002	1	1056	"uuid:b502c56c-a0ec-4f23-919d-7f0c656dcfef"	1904172137	"uuid:b502c56c-a0ec-4f23-919d-7f0c656dcfef"
"Apr 23, 2019 3:20:04 PM"	"Apr 23, 2019"	"3.59973E+14"	6306	"Mukuru"	"0ed416c"	"WapewapeAandB"	1	93	1		788	44	0	3	1	3	3	"Occasionally uses stove(kerosene) to cook"	1	1	0	0	1	0	1	1	0	"She pays for her phone to be charged when there is no electricity"	700	700		140						70			100	10	3	"9 11"	0	0	0	0	0	0	0	0	1	1	0	0	0	"She buys charcoal from two places, one vendor sells other things apart from charcoal, the other only sells charcoal90"	"9 97"	0	0	0	0	0	0	0	0	1	0	0	1	0	90	1	80	90	"6 97"	0	0	0	0	0	1	0	0	1	0	"When she has visitors"	300	2017	98	104	1	"She buys a jiko after every two years"	2500	81	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	500	"6 7"	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	1	"1"	1	0	0	0	1	"6"	0	0	0	0	0	1	0	"6"	0	0	0	0	0	1	0	1	1800	5	5	5	"97"	0	0	0	0	0	0	0	0	0	0	1	""						""												"6 97"	0	0	0	0	0	1	0	0	0	0	1	0	1000	40000	0			1	0	1	7	2	1	0	2894	105	208	1011.75	1468	555	400	1020	1360	""	4046	"3"	0	0	0	0	1	0	0	0	0	0	0	0	0	"5 99"	0	0	0	0	1	0	0	0	1	"Uses less charcoal and cooks faster"	4	"Will taster better, have better aroma"	156	0	1	24	0	0	0	2	3	3	4	20	18000	7200						0	0	0	0	0	3	2	2	3	10						0	0	0	0	0	0	0	0	0	0	3	2	2	3	10	0	0	0	0	0	20		4550	18	4	4	17	16	11	18	20	5292	20	1	380	60	480	540		5498	1		"uuid:206557f0-a933-4c77-a694-0d5077e36c9a"	1904172137	"uuid:206557f0-a933-4c77-a694-0d5077e36c9a"
"Apr 23, 2019 4:59:03 PM"	"Apr 23, 2019"	"3.59973E+14"	5753	"Mukuru"	"ef948c5"	"WapewapeAandB"	1	705	1		924	42	0	3	1	3	1	"Occasionally uses LPG"	1	0	0	1	1	0	1	0	0	""	350	350						70		10			100		1	"96"	0	0	0	0	0	0	0	0	0	0	0	0	1	"Just sells charcoal"	"96"	0	0	0	0	0	0	0	0	0	0	0	0	1	80	2	80	85	"5 97"	0	0	0	0	1	0	0	0	1	0	"When she has people from her merry go round"	200	2016	8	52	1	"Buys a jiko after two years or more depends on usage and quality of jiko"	2200	8	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	200	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	800	"6 7 8"	0	0	0	0	0	0	0	0	0	1	1	1	0	0	1	0	"1"	1	0	0	0	0	"6"	0	0	0	0	0	1	0	"96"	0	0	0	0	0	0	1	3	-999	5	5	5	"3"	0	0	1	0	0	0	0	0	0	0	0	""						""												"1"	1	0	0	0	0	0	0	0	0	0	0	300	1000	5600				3	2	4	3	0	0	0	1647	105	208	1011.95	-999	-999	-999	-999	-999	""	1647	"3"	0	0	0	0	1	0	0	0	0	0	0	0	0	"1 5"	1	0	0	0	1	0	0	0	0	""	3	""	52	0	0	0	0	0	0	2	2	2	3	0	9000	3600			3	4	5	3	3	2													0	0	3	4	5	3	3	2	0	0	0	0	0	0	0	0	0	0	0	0	20		1647	15	20	21	14	18	9	11	15	1647	50	1	350	150	450	600		1647	2		"uuid:b9c8006f-43b2-4d28-ab48-158e06cc34df"	1904172137	"uuid:b9c8006f-43b2-4d28-ab48-158e06cc34df"
"Apr 23, 2019 5:01:33 PM"	"Apr 23, 2019"	"3.544E+14"	7420	"Mukuru"	"49e7896"	"WapewapeAandB"	1	81	1		1756	44	0	2	0	3	1	""	1	1	0	1	0	0	1	0	0	""	560	560		20				188					100		2	"96"	0	0	0	0	0	0	0	0	0	0	0	0	1	""	"96"	0	0	0	0	0	0	0	0	0	0	0	0	1	80	1	70	80	"2 4"	0	1	0	1	0	0	0	0	0	0	""	300	2018	12	12	1	""	2000	7	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	250	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	400	"8"	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	"96"	0	0	0	1	1	"3"	0	0	1	0	0	0	0	"96"	0	0	0	0	0	0	1	2	0	2	2	2	"1"	1	0	0	0	0	0	0	0	0	0	0	""						"1"	1	0	0	0	0	0	0	0	0	0	0	"1"	1	0	0	0	0	0	0	0	0	0	0	60			200		5000	0	0	4	0	4	4	0	4649	105	208	1011.75	2094	1665	-999	2550	-999	""	5291	"22"	0	0	0	1	0	0	0	0	0	0	0	0	0	"1 5"	1	0	0	0	1	0	0	0	0	""	3	""	104	1	0	24				2	2	2	1	500	2080	2000		20																			0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20		5982	12	5	4	19	15	1	18	21	6654	100	0	300	300	400	700		6913	1	7307	"uuid:92eb254a-81b6-4f10-879f-e3daf91148aa"	1904172137	"uuid:92eb254a-81b6-4f10-879f-e3daf91148aa"
"Apr 23, 2019 5:01:38 PM"	"Apr 23, 2019"	"3.544E+14"	3900	"Mukuru"	"0e5bf6e"	"WapewapeAandB"	1	46	1		1261	3	0	2	1	3	1	""	1	1	0	0	1	0	1	0	0	""	350	350		100						40			100		2	"96"	0	0	0	0	0	0	0	0	0	0	0	0	1	""	"96"	0	0	0	0	0	0	0	0	0	0	0	0	1	120	1	40	150	"2 4 6 7"	0	1	0	1	0	1	1	0	0	0	""	200	2018	8	9	2	""	2500	79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	400	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	"0"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	"96"	0	0	0	1	0	"96"	0	0	0	0	0	0	1	"3 4"	0	0	1	1	0	0	0	2	1500	5	4	4	""												"2"	0	1	0	0	0	"1"	1	0	0	0	0	0	0	0	0	0	0	"1"	1	0	0	0	0	0	0	0	0	0	0	0						2	0	0	2	8	0	0	2355	187	208	-999	-999	-999	2200	-999	-999	""	2936	"3"	0	0	0	0	1	0	0	0	0	0	0	0	0	"1"	1	0	0	0	0	0	0	0	0	""	4	""	104	0	0	0	0	0	0	4	4	4	1	600	8000	5000					5	4	11														0	0	0	0	5	4	11	0	0	0	0	0	0	0	0	0	0	0	0	0	20		3321	12	5	9	21	21	20	18	16	3480	200	0	200	600	300	900		3591	1	3897	"uuid:8ca53c8b-e805-4fa9-a0fc-ebe0b5a4a059"	1904172137	"uuid:8ca53c8b-e805-4fa9-a0fc-ebe0b5a4a059"
