submissiondate	today	tabletid	duration	generated_note_name_8	a_area	respondent_id	a_village	generated_note_name_14	generated_note_name_16	a_agree	durationintro	generated_note_name_20	generated_note_name_22	a_consent	a_comment	durationconsent	b_educ	b_male	b_residents	b_children	d_maincooking	d_mainlighting	cz1	generated_note_name_55	d_anycharcoal	d_anykerosene	d_anyfirewood	d_anylpg	d_anycandles	d_anysolar	d_anyelec	d_anyphone	d_anyfree	cz2	generated_note_name_68	generated_note_name_69	d_charcoalbuy	d_charcoaluse	d_charcoalfree	d_kerosenebuy	d_kerosenefree	d_firewoodbuy	d_firewoodfree	d_lpgbuy	d_lpgfree	d_candlesbuy	d_candlesfree	d_solarbuy	d_elecbuy	d_phonebuy	generated_note_name_87	generated_note_name_88	generated_note_name_89	generated_note_name_90	generated_note_name_91	generated_note_name_92	generated_note_name_93	generated_note_name_94	c_charcoalfreq	c_charcoalseller	c_charcoalseller_other	c_charcoalbought	generated_note_name_101	c_charcoalkes	c_charcoalunits	c_charcoalow	c_charcoalhigh	c_buymore	c_buymoreother	c_cookstoveprice	generated_note_name_111	c_cookstoveyear	c_cookstovemonth	c_newcookstovewhen	c_newcookstovebuy	c_comment	generated_note_name_118	generated_note_name_121	b_rent	b_occupationself	b_incomeself	b_occupationothers	b_incomeothers	generated_note_name_129	generated_note_name_130	b_bigpurchase	generated_note_name_134	g1a	g1a2	g1b	g1c	generated_note_name_141	g1d	g1e	g1f	g1g1	generated_note_name_146	g1g	g1h	g1i	generated_note_name_153	g2d	g2g	g2h	g2i	generated_note_name_158	g2a	g2b	g2b2	g2c	g2e	g2f	generated_note_name_171	generated_note_name_173	d_attributes_easy	d_attributes_taste	d_attributes_smoke	d_attributes_cheap	d_attributes_save	d_attributes_looks	durationsurvey	generated_note_name_185	generated_note_name_186	generated_note_name_188	math1	math2	math3	math4	math5	math6	math7	math8	comment_math	durationmath	generated_note_name_207	generated_note_name_208	generated_note_name_210	generated_note_name_211	d_awareness	d_bestthings	d_otherthings	d_taste	d_tastetext	d_jikokoalast	generated_note_name_220	generated_note_name_221	d2_cough_resp	d2_breath_resp	d2_hours_resp	generated_note_name_225	d2_cough_child	d2_breath_child	d2_hours_child	f_health_trad_adult	f_health_trad_child	f_health_longterm	f_health_jikokoa	f_health_work	generated_note_name_238	generated_note_name_240	d_beanmax	d_beanmin	generated_note_name_243	generated_note_name_244	generated_note_name_246	d_beans1a	d_beans2a	d_beans3a	d_beans4a	d_beans5a	d_beans6a	d_beans7a	d_beans8a	d_beans9a	d_beans10a	d_beans11a	d_beans12a	d_beans13a	d_beans14a	d_beans15a	d_beans16a	d_beans17a	d_beans18a	d_beans19a	d_beans20a	d_beans1	d_beans2	d_beans3	d_beans4	d_beans5	d_beans6	d_beans7	d_beans8	d_beans9	d_beans10	d_beans11	d_beans12	d_beans13	d_beans14	d_beans15	d_beans16	d_beans17	d_beans18	d_beans19	d_beans20	d_beanstotal	generated_note_name_290	beans_no20	generated_note_name_292	durationbeliefs	generated_note_name_298	generated_note_name_299	generated_note_name_300	generated_note_name_301	generated_note_name_303	prac_decisions1	generated_note_name_305	prac_decisions2	prac_decisions3	generated_note_name_308	generated_note_name_310	generated_note_name_311	generated_note_name_312	generated_note_name_313	generated_note_name_315	decisions1	decisions2	decisions3	decisions4	decisions5	durationeffort	generated_note_name_328	generated_note_name_329	generated_note_name_330	generated_note_name_331	g_invest	generated_note_name_334	g_outcome	fixed	win	totallose	totalwin	generated_note_name_340	generated_note_name_341	comment_risk	durationrisk	generated_note_name_347	generated_note_name_348	generated_note_name_349	generated_note_name_350	generated_note_name_355	generated_note_name_356	generated_note_name_357	numbersame	generated_note_name_364	generated_note_name_365	durationtotal	instanceid	formdef_version	key
"May 9, 2019 3:12:46 PM"	"May 9, 2019"	"14:dd:a9:46:e4:16"	9320		"Mathare"	"7f831a3"	"MlangoKubwa V1 B"			1	3843			1		4436	37	0	5	3	3	1	""		1	1	0	0	0	0	1	0	0				300	400		280									75										3	"96"		"96"		100	1	50	100	"2"	""	250		2017	6	28	1	""			3000	"96"	0	"25"	500			"8"		1	0	"96"	1		"3"	"3"	2	-999		5	4	2		"97"		"1"	"1"		0			0		2500			0	0	4	5	3	0	4890				105	33	1050	18526	122	-999	210	-999	""	4890					"9"	"1 7"	""	4		208			1	0	0		0	0	0	3	2	4	3	0			2000	0				9	11																			9	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20				4890						8		11	5							12	4	1	14	2	4890					200		0	200	600	300	900			""	4890								1			4890	"uuid:cd9de9f0-2ef9-4e61-a75e-f0448df46992"	1905090715	"uuid:cd9de9f0-2ef9-4e61-a75e-f0448df46992"
"May 9, 2019 3:12:46 PM"	"May 9, 2019"	"14:dd:a9:46:e4:16"	4944		"Mathare"	"0e7e28c"	"MlangoKubwa V1 B"			1	80			1		648	3	0	4	3	3	1	""		1	1	0	1	0	0	1	0	0				300	300		100				150					50										3	"96"		"96"		100	2	50	100	"4 8 97"	"Low quality of charcoal"	500		2018	4	52	1	""			3000	"7"	500	"96"	0			"6"		1	1	"2 3"	1		"1 3 5"	"1"	1	3000		4	4	1		"1 6"		""	"1"		1500	17000	47000	32000	15000	10000			0	0	1	2	4	5	772				105	208	-999	-999	-999	-999	-999	-999	""	772					"20 8 9"	"1 5 6"	""	5		156			0	0	0		0	0	0	3	2	4	2	0			2000	0				8	12																			8	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20				772						20		19	4							4	21	21	1	21	772					0		1	400	0	500	500			""	772								1			772	"uuid:e18ecd4b-9634-45a8-85db-d48fc398aeb5"	1905090715	"uuid:e18ecd4b-9634-45a8-85db-d48fc398aeb5"
"May 9, 2019 3:12:47 PM"	"May 9, 2019"	"14:dd:a9:46:e4:16"	3384		"Mathare"	"0ce3784"	"MlangoKubwa V1 B"			1	32			1		40	3	0	3	2	3	1	""		1	0	0	0	0	0	1	0	0				500	500											65										3	"96"		"96"		100	1	50	120	"4 6 97"	""	500		2017	4	8	1	""			2500	"7"	400	"96"	0			"6 7"		1	0	"1"	0		"3"	"1 3"	2	-999		5	4	2		"1"		"1"	"1"		200	3000	5000			8000			3	0	2	2	5	0	41				105	208	123500	253200	-999	102558	-999	-999	""	41					"3"	"1 5 7"	""	4		52			0	0	0		0	0	0	1	1	1	2	100			3000	0				5	5	10																		5	5	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20				41						14		14	14							8	9	7	6	2	41					50		1	350	150	450	600			""	41								2			41	"uuid:f24c8612-1641-4d50-a89e-b3e1864bf520"	1905090715	"uuid:f24c8612-1641-4d50-a89e-b3e1864bf520"
"May 9, 2019 3:01:18 PM"	"May 9, 2019"	"3.55532E+14"	3738		"Mathare"	"a324b24"	"Number 10"			1	37			1		82	3	0	7	4	3	1	""		1	1	0	0	1	0	1	0	0				490	490		105						70			100										2	"96"		"96"		70	1	50	70	"4 6"	""	250		2018	5	8	1	""			4500	"96"	0	"14"	-888			"6 8"		1	0	"3"	0		"6"	"96"	1	-999		4	4	2		"6"		""	"6"		100	1200	5000						0	0	0	8	4	0	1136				105	208	1011.75	2094	406.67	1178380	857.083	855.3125	""	2639					"3"	"1 4 5"	""	5		260			1	1	0		1	0	3	4	5	5	5	200			12775	0				1	1	0	0	3	0	2	1	4	2	6										1	1	0	0	3	0	2	1	4	2	6	0	0	0	0	0	0	0	0	0	20				2874						10		13	14							14	12	10	11	13	3099					50		0	350	150	450	600			""	3473								1			3736	"uuid:bf392bc1-7412-4923-abeb-9cde33bdc6e9"	1905090715	"uuid:bf392bc1-7412-4923-abeb-9cde33bdc6e9"
"May 9, 2019 3:01:19 PM"	"May 9, 2019"	"3.55532E+14"	2712		"Mathare"	"5d2e40a"	"Number 10"			1	20			1		55	3	0	7	4	3	1	""		1	0	0	0	1	0	1	1	0				1120	1120								20			75	50									2	"2"		"2"		70	1	50	80	"8"	""	300		2017	98	28	1	""			1000	"199"	100	"199"	200			"96"		1	0	"3"	0		"6"	"96"	2	-999		5	4	4		"6"		"1"	"4 6"		120	500	3000						3	2	3	0	4	0	994				105	208	1011.75	-999	3330	-999	935	-999	""	1426					"4"	"1 5"	""	3		208			1	1	72		1	0	3	3	5	4	5	300			29200	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	5	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	5	10	20				1888						15		12	18							18	15	15	16	12	2505					100		0	300	300	400	700			""	2611								1			2710	"uuid:d07fcd33-1b3d-44d6-90b6-31bb53665027"	1905090715	"uuid:d07fcd33-1b3d-44d6-90b6-31bb53665027"
"May 9, 2019 3:01:20 PM"	"May 9, 2019"	"3.55532E+14"	3444		"Mathare"	"a5a50af"	"Number 10"			1	17			1		46	3	0	4	2	3	1	""		1	1	0	1	1	0	1	1	0				490	490		280				60		20			75	20									2	"96"		"96"		70	1	65	70	"4 6"	""	250		2017	6	52	1	""			2500	"96"	0	"8"	1000			"6"		1	0	"3"	1		"3"	"3"	2	-999		4	2	2		"6"		"1"	"1"		28	200	5000	0		1000			1	2	1	5	2	1	1210				105	208	1011.75	6526	9990	2210	-999	-999	""	1936					"3"	"1"	""	3		104			0	0	0		0	0	0	3	3	2	4	500			12775	0				0	0	0	0	0	3	3	2	5	4	3										0	0	0	0	0	3	3	2	5	4	3	0	0	0	0	0	0	0	0	0	20				2428						16		14	17							17	19	16	15	14	3051					50		1	350	150	450	600			""	3306								1			3442	"uuid:404b319f-d417-4a74-86e9-6faa3bdd466a"	1905090715	"uuid:404b319f-d417-4a74-86e9-6faa3bdd466a"
"May 9, 2019 5:26:11 PM"	"May 9, 2019"	"469401f5e759000f"	2068		"Mathare"	"e894592"	"MlangoKubwa V3 B"			1	46			1		233	96	0	4	1	3	1	""		1	0	0	1	0	0	1	0	0				350	350						190					75										5	"96"		"96"		350	3	340	360	"6 8"	""	200		2018	3	32	1	""			2000	"8"	600	"15"	850			"6 7"		1	0	"1"	1		"6"	"96"	2	1500		5	4	2		"6 10"		"1"	"1"		600	500	35000	0					0	3	5	0	4	0	1132				-999	-999	-999	-999	-999	-999	-999	-999	""	1178					"3"	"1 5"	""	4		208			0	0	0		1	0	0	3	4	3	3	250			7000	0				0	2	5	6	3	4															0	2	5	6	3	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20				1447						13		15	18							16	14	19	16	16	1706					200		0	200	600	300	900			""	1874								1			2060	"uuid:449ee80b-48f5-4755-b01b-850fc87a8ee8"	1905090715	"uuid:449ee80b-48f5-4755-b01b-850fc87a8ee8"
"May 9, 2019 5:26:12 PM"	"May 9, 2019"	"469401f5e759000f"	2302		"Mathare"	"74b5eae"	"MlangoKubwa V3 B"			1	23			1		288	3	0	3	2	3	1	""		1	1	0	0	1	0	1	0	0				400	350		120						20			70										3	"96"		"96"		100	1	80	100	"4 8"	""	200		2017	10	8	1	""			2000	"12"	450	"96"	0			"6 7"		1	0	"3"	0		"96"	"96"	2	-999		5	4	2		""	2	"1"	"1"		300	1000	5000						2	2	3	2	3	0	1355				105	208	62700	-999	-999	-999	-999	-999	""	1548					"3"	"1 4 5"	""	4		260			1	1	3		0	0	0	4	4	3	4	250			8000	0				1	2	4	2	3	4	4														1	2	4	2	3	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	20				1901						11		8	10							8	6	6	9	7	1994					50		0	350	150	450	600			""	2170								1			2300	"uuid:ce3a4b9e-8e6e-4ae4-8a90-12eee663951d"	1905090715	"uuid:ce3a4b9e-8e6e-4ae4-8a90-12eee663951d"
"May 9, 2019 5:26:13 PM"	"May 9, 2019"	"469401f5e759000f"	2499		"Mathare"	"7b83436"	"MlangoKubwa V3 B"			1	169			1		284	3	0	5	3	3	1	""		1	1	0	0	0	0	1	0	0				500	400		150									100										2	"96"		"96"		100	1	90	100	"2"	""	300		2018	11	16	1	""			2000	"12"	600	"13"	500			"32 7"		1	0	"96"	0		"3"	"96"	2	-999		4	4	4		"5 97"		"1"	"1"		2000					11000			0	4	2	1	5	0	1299				105	208	-999	-999	-999	-999	-999	-999	""	1627					"20 3"	"1 4 5"	""	5		205			1	1	3		1	0	0	4	3	4	4	300			10000	0				0	0	0	2	4	4	5	5													0	0	0	2	4	4	5	5	0	0	0	0	0	0	0	0	0	0	0	0	20				2047						11		16	13							18	17	17	17	14	2138					300		0	100	900	200	1100			""	2302								1			2496	"uuid:9c7eb6e6-4607-4b2e-8a1a-a00af27aee3c"	1905090715	"uuid:9c7eb6e6-4607-4b2e-8a1a-a00af27aee3c"
"May 9, 2019 5:03:00 PM"	"May 9, 2019"	"3.56213E+14"	2677		"Mathare"	"f4e9b75"	"Mabatini A"			1	15			1		132	96	0	10	2	3	1	""		1	0	0	0	0	0	1	0	0				500	500											100										5	"96"		"96"		500	3	450	500	"6"	""	350		2017	8	16	1	""			2300	"12"	500	"72"	500			"32 7 8"		1	0	"96"	0		"3"	"96"	2	0		5	5	2		"6"		"6"	"6"		0					4000			1	0	5	0	5	1	882				-999	-999	-999	-999	-999	-999	-999	999	""	954					"3 7"	"1 2 5"	""	4		156			0	0	0		0	0	0	3	3	3	2	0			13000	0				0	0	0	0	0	0	0	4	4	4	8										0	0	0	0	0	0	0	4	4	4	8	0	0	0	0	0	0	0	0	0	20				1176						9		11	10							1	1	5	6	9	1548					400		1	0	1200	100	1300			""	1801								1			2477	"uuid:16f51168-73a2-4fa9-983e-b8198f25f78c"	1905090715	"uuid:16f51168-73a2-4fa9-983e-b8198f25f78c"
