submissiondate	today	tabletid	duration	a_area	respondent_id	a_village	a_agree	durationintro	a_consent	a_comment	durationconsent	b_educ	b_male	b_residents	b_children	d_maincooking	d_mainlighting	cz1	d_anycharcoal	d_anykerosene	d_anyfirewood	d_anylpg	d_anycandles	d_anysolar	d_anyelec	d_anyphone	d_anyfree	cz2	d_charcoalbuy	d_charcoaluse	d_charcoalfree	d_kerosenebuy	d_kerosenefree	d_firewoodbuy	d_firewoodfree	d_lpgbuy	d_lpgfree	d_candlesbuy	d_candlesfree	d_solarbuy	d_elecbuy	d_phonebuy	c_charcoalfreq	c_charcoalseller	c_charcoalseller_2	c_charcoalseller_3	c_charcoalseller_4	c_charcoalseller_5	c_charcoalseller_6	c_charcoalseller_7	c_charcoalseller_12	c_charcoalseller_8	c_charcoalseller_9	c_charcoalseller_11	c_charcoalseller_13	c_charcoalseller_97	c_charcoalseller_96	c_charcoalseller_other	c_charcoalbought	c_charcoalbought_2	c_charcoalbought_3	c_charcoalbought_4	c_charcoalbought_5	c_charcoalbought_6	c_charcoalbought_7	c_charcoalbought_12	c_charcoalbought_8	c_charcoalbought_9	c_charcoalbought_11	c_charcoalbought_13	c_charcoalbought_97	c_charcoalbought_96	c_charcoalkes	c_charcoalunits	c_charcoalow	c_charcoalhigh	c_buymore	c_buymore_1	c_buymore_2	c_buymore_3	c_buymore_4	c_buymore_5	c_buymore_6	c_buymore_7	c_buymore_8	c_buymore_97	c_buymore_96	c_buymoreother	c_cookstoveprice	c_cookstoveyear	c_cookstovemonth	c_newcookstovewhen	c_newcookstovebuy	c_comment	b_rent	b_occupationself	b_occupationself_96	b_occupationself_1	b_occupationself_7	b_occupationself_33	b_occupationself_81	b_occupationself_82	b_occupationself_83	b_occupationself_84	b_occupationself_8	b_occupationself_9	b_occupationself_10	b_occupationself_32	b_occupationself_11	b_occupationself_12	b_occupationself_13	b_occupationself_14	b_occupationself_15	b_occupationself_16	b_occupationself_17	b_occupationself_18	b_occupationself_19	b_occupationself_199	b_occupationself_20	b_occupationself_21	b_occupationself_22	b_occupationself_23	b_occupationself_71	b_occupationself_72	b_occupationself_73	b_occupationself_74	b_occupationself_75	b_occupationself_79	b_occupationself_24	b_occupationself_25	b_occupationself_26	b_occupationself_27	b_occupationself_28	b_occupationself_29	b_occupationself_30	b_occupationself_31	b_occupationself_2	b_occupationself_3	b_occupationself_4	b_occupationself_5	b_occupationself_6	b_occupationself_61	b_occupationself_99	b_occupationself_50	b_occupationself_97	b_incomeself	b_occupationothers	b_occupationothers_96	b_occupationothers_1	b_occupationothers_7	b_occupationothers_33	b_occupationothers_81	b_occupationothers_82	b_occupationothers_83	b_occupationothers_84	b_occupationothers_8	b_occupationothers_9	b_occupationothers_10	b_occupationothers_32	b_occupationothers_11	b_occupationothers_12	b_occupationothers_13	b_occupationothers_14	b_occupationothers_15	b_occupationothers_16	b_occupationothers_17	b_occupationothers_18	b_occupationothers_19	b_occupationothers_199	b_occupationothers_20	b_occupationothers_21	b_occupationothers_22	b_occupationothers_23	b_occupationothers_71	b_occupationothers_72	b_occupationothers_73	b_occupationothers_74	b_occupationothers_75	b_occupationothers_79	b_occupationothers_24	b_occupationothers_25	b_occupationothers_26	b_occupationothers_27	b_occupationothers_28	b_occupationothers_29	b_occupationothers_30	b_occupationothers_31	b_occupationothers_2	b_occupationothers_3	b_occupationothers_4	b_occupationothers_5	b_occupationothers_6	b_occupationothers_61	b_occupationothers_99	b_occupationothers_50	b_occupationothers_97	b_incomeothers	b_bigpurchase	b_bigpurchase_0	b_bigpurchase_1	b_bigpurchase_11	b_bigpurchase_2	b_bigpurchase_31	b_bigpurchase_32	b_bigpurchase_33	b_bigpurchase_4	b_bigpurchase_5	b_bigpurchase_6	b_bigpurchase_7	b_bigpurchase_8	b_bigpurchase_96	b_bigpurchase_97	g1a	g1a2	g1b	g1b_1	g1b_2	g1b_3	g1b_96	g1c	g1d	g1d_1	g1d_2	g1d_3	g1d_4	g1d_5	g1d_6	g1d_96	g1e	g1e_1	g1e_2	g1e_3	g1e_4	g1e_5	g1e_6	g1e_96	g1f	g1g1	g1g	g1h	g1i	g2d	g2d_1	g2d_2	g2d_3	g2d_4	g2d_5	g2d_6	g2d_7	g2d_8	g2d_9	g2d_10	g2d_97	g2g	g2g_1	g2g_2	g2g_3	g2g_4	g2g_97	g2h	g2h_1	g2h_2	g2h_3	g2h_4	g2h_5	g2h_6	g2h_7	g2h_8	g2h_9	g2h_10	g2h_97	g2i	g2i_1	g2i_2	g2i_3	g2i_4	g2i_5	g2i_6	g2i_7	g2i_8	g2i_9	g2i_10	g2i_97	g2a	g2b	g2b2	g2c	g2e	g2f	d_attributes_easy	d_attributes_taste	d_attributes_smoke	d_attributes_cheap	d_attributes_save	d_attributes_looks	durationsurvey	math1	math2	math3	math4	math5	math6	math7	math8	comment_math	durationmath	d_awareness	d_awareness_0	d_awareness_20	d_awareness_21	d_awareness_22	d_awareness_3	d_awareness_4	d_awareness_5	d_awareness_6	d_awareness_7	d_awareness_8	d_awareness_9	d_awareness_10	d_awareness_97	d_bestthings	d_bestthings_1	d_bestthings_2	d_bestthings_3	d_bestthings_4	d_bestthings_5	d_bestthings_6	d_bestthings_7	d_bestthings_97	d_bestthings_99	d_otherthings	d_taste	d_tastetext	d_jikokoalast	d2_cough_resp	d2_breath_resp	d2_hours_resp	d2_cough_child	d2_breath_child	d2_hours_child	f_health_trad_adult	f_health_trad_child	f_health_longterm	f_health_jikokoa	f_health_work	d_beanmax	d_beanmin	d_beans1a	d_beans2a	d_beans3a	d_beans4a	d_beans5a	d_beans6a	d_beans7a	d_beans8a	d_beans9a	d_beans10a	d_beans11a	d_beans12a	d_beans13a	d_beans14a	d_beans15a	d_beans16a	d_beans17a	d_beans18a	d_beans19a	d_beans20a	d_beans1	d_beans2	d_beans3	d_beans4	d_beans5	d_beans6	d_beans7	d_beans8	d_beans9	d_beans10	d_beans11	d_beans12	d_beans13	d_beans14	d_beans15	d_beans16	d_beans17	d_beans18	d_beans19	d_beans20	d_beanstotal	beans_no20	durationbeliefs	prac_decisions1	prac_decisions2	prac_decisions3	decisions1	decisions2	decisions3	decisions4	decisions5	durationeffort	g_invest	g_outcome	fixed	win	totallose	totalwin	comment_risk	durationrisk	numbersame	durationtotal	instanceid	formdef_version	key
"May 13, 2019 10:34:17 AM"	"May 13, 2019"	"3.5757E+14"	3007	"Mathare"	"55e6f99"	"Area2"	1	92	1		150	37	0	3	2	3	1	""	1	1	0	0	1	0	1	1	0		700	700		50						70			300	100	2	"11"	0	0	0	0	0	0	0	0	0	1	0	0	0		"11"	0	0	0	0	0	0	0	0	0	1	0	0	0	100	1	70	100	"2 5"	0	1	0	0	1	0	0	0	0	0	""	250	2017	98	52	1	""	2500	"13"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	600	"50"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	"1 32 6"	0	1	0	0	0	1	0	0	0	1	0	0	0	0	1	0	"1"	1	0	0	0	1	"1 6"	1	0	0	0	0	1	0	"96"	0	0	0	0	0	0	1	1	-999	4	4	2	"1 6 9"	1	0	0	0	0	1	0	0	1	0	0	""						""												"1"	1	0	0	0	0	0	0	0	0	0	0	150	10000	10000	-99	20000		2	0	4	2	4	0	1579	105	208	1011.75	2094	12204	2054	85	85	""	2321	"3 4 9"	0	0	0	0	1	1	0	0	0	0	1	0	0	"1 3"	1	0	1	0	0	0	0	0	0	""	5		156	0	0	0	0	0	0	4	4	4	2	1000	15000	0	3	3	1	1	1	2	2	1	2	2	1	1									3	3	1	1	1	2	2	1	2	2	1	1	0	0	0	0	0	0	0	0	20		2640	14	12	12	14	14	14	14	14	2746	100	0	300	300	400	700	""	2794	1	3005	"uuid:dd0ebf1e-01a4-47ad-8190-031cdbaa39e3"	1905090715	"uuid:dd0ebf1e-01a4-47ad-8190-031cdbaa39e3"
"May 13, 2019 1:21:06 PM"	"May 13, 2019"	"3.5757E+14"	2587	"Mathare"	"86de035"	"Area2"	1	50	1		63	33	0	5	3	3	1	""	1	1	0	0	0	0	1	0	0		500	500		350									50		1	"96"	0	0	0	0	0	0	0	0	0	0	0	0	1		"96"	0	0	0	0	0	0	0	0	0	0	0	0	1	100	1	80	100	"4 8"	0	0	0	1	0	0	0	1	0	0	""	150	2017	3	156	1	""	2500	"7"	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	200	"7"	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	600	"6"	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	"3"	0	0	1	0	0	"6"	0	0	0	0	0	1	0	"3"	0	0	1	0	0	0	0	2	2000	2	2	2	"1"	1	0	0	0	0	0	0	0	0	0	0	""						"1"	1	0	0	0	0	0	0	0	0	0	0	"1"	1	0	0	0	0	0	0	0	0	0	0	0	300	1000				0	0	4	5	3	0	1380	105	208	5866	7310	100	200	50	100	""	1427	"3 4"	0	0	0	0	1	1	0	0	0	0	0	0	0	"1"	1	0	0	0	0	0	0	0	0	""	5		156	0	0	0	0	0	0	4	4	4	1	400	16000	0	3	2	2	1	1	1	1	2	2	1	2	1	1								3	2	2	1	1	1	1	2	2	1	2	1	1	0	0	0	0	0	0	0	20		2015	21	20	21	21	21	21	21	21	2430	50	0	350	150	450	600	""	2453	1	2585	"uuid:1b81ee95-5050-483b-948b-a65ee7793ed7"	1905090715	"uuid:1b81ee95-5050-483b-948b-a65ee7793ed7"
"May 13, 2019 1:21:07 PM"	"May 13, 2019"	"3.5757E+14"	3162	"Mathare"	"39fe560"	"Area2"	1	82	1		141	42	0	4	3	3	7	""	1	1	0	0	1	0	0	1	0		300	300		140						70				80	2	"96"	0	0	0	0	0	0	0	0	0	0	0	0	1		"96"	0	0	0	0	0	0	0	0	0	0	0	0	1	100	1	70	100	"8"	0	0	0	0	0	0	0	1	0	0	""	150	2018	2	104	1	""	2000	"12"	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	200	"96"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"0 6"	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	"1"	1	0	0	0	0	"6"	0	0	0	0	0	1	0	"96"	0	0	0	0	0	0	1	1	1000	4	4	2	"6"	0	0	0	0	0	1	0	0	0	0	0	""						""												"6"	0	0	0	0	0	1	0	0	0	0	0	0	800	3000				2	0	3	4	3	0	1378	105	208	123.5	10470	8540	450	8500	750	""	1645	"9"	0	0	0	0	0	0	0	0	0	0	1	0	0	"97"	0	0	0	0	0	0	0	1	0	""	3		156	1	0	0	0	0	0	4	4	4	1	0	9600	0	2	2	2	3	3	3	2	3													2	2	2	3	3	3	2	3	0	0	0	0	0	0	0	0	0	0	0	0	20		2349	14	15	21	14	9	12	14	12	2782	50	1	350	150	450	600	""	2923	1	3156	"uuid:a4bd29bc-5388-4101-92f5-e654370b1e45"	1905090715	"uuid:a4bd29bc-5388-4101-92f5-e654370b1e45"
"May 13, 2019 1:29:30 PM"	"May 13, 2019"	"8.65566E+14"	4035	"Mathare"	"0921d49"	"Area2"	1	127	1		292	96	0	7	5	3	1	""	1	1	0	0	0	0	1	0	0		700	700		200									60		2	"96"	0	0	0	0	0	0	0	0	0	0	0	0	1		"96"	0	0	0	0	0	0	0	0	0	0	0	0	1	100	1	100	100	"1 2 8"	1	1	0	0	0	0	0	1	0	0	""	250	2015	3	24	1	""	5000	"7"	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	250	"8"	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	233	"96"	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	"2"	0	1	0	0	0	"96"	0	0	0	0	0	0	1	"96"	0	0	0	0	0	0	1	2	0	5	5	5	""												"2"	0	1	0	0	0	"1"	1	0	0	0	0	0	0	0	0	0	0	"1"	1	0	0	0	0	0	0	0	0	0	0	0	100	3000				2	2	2	2	2	2	1042	105	180	1011.75	30	3.33	1.29	100	30	""	1618	"3"	0	0	0	0	1	0	0	0	0	0	0	0	0	"1 5"	1	0	0	0	1	0	0	0	0	""	3		104	0	0	0	0	0	0	2	2	1	1	50	18250	0	0	10	10	0	0	0	0	0	0	0	0	0	0	0	0						0	10	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20		2509	21			21	21	21	21	21	2661	0	0	400	0	500	500	""	3113	1	4033	"uuid:4db12825-c2d8-43a1-82ec-09fa9127843f"	1905090715	"uuid:4db12825-c2d8-43a1-82ec-09fa9127843f"
"May 13, 2019 1:29:32 PM"	"May 13, 2019"	"8.65566E+14"	3972	"Mathare"	"e545cb2"	"Area2"	1	16	1		820	44	1	2	0	3	1	""	1	0	0	1	0	0	1	0	0		700	700						108					75		3	"96"	0	0	0	0	0	0	0	0	0	0	0	0	1		"96"	0	0	0	0	0	0	0	0	0	0	0	0	1	100	1	100	100	"2 3 4"	0	1	1	1	0	0	0	0	0	0	""	300	2018	12	104	1	""	4000	"199"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	500	"96"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"7"	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	"96"	0	0	0	1	0	"96"	0	0	0	0	0	0	1	"96"	0	0	0	0	0	0	1	1	0	2	2	2	""												"2"	0	1	0	0	0	""												"1"	1	0	0	0	0	0	0	0	0	0	0	0						2	0	5	0	4	1	1626	105	208	1011.75	1910	2775	450	85	-999	""	2591	"3"	0	0	0	0	1	0	0	0	0	0	0	0	0	"1"	1	0	0	0	0	0	0	0	0	""	4		208	0	0	0				2	2	1	1	50	18250	0	0	0	0	0	0	0	0	0	9	0	0	6	0	0	5						0	0	0	0	0	0	0	0	9	0	0	6	0	0	5	0	0	0	0	0	20		3073				4	3	2	2	4	3499	400	1	0	1200	100	1300	""	3725	1	3971	"uuid:966f00cf-4abd-48ec-b5fd-4916bb45e9d5"	1905090715	"uuid:966f00cf-4abd-48ec-b5fd-4916bb45e9d5"
"May 13, 2019 1:29:33 PM"	"May 13, 2019"	"8.65566E+14"	4616	"Mathare"	"db85bcd"	"Area2"	1	26	1		242	37	0	5	2	3	1	""	1	1	0	0	0	0	1	0	0		1050	1050		140									50		2	"96"	0	0	0	0	0	0	0	0	0	0	0	0	1		"96"	0	0	0	0	0	0	0	0	0	0	0	0	1	100	1	100	100	"1 2 3 4 5 6"	1	1	1	1	1	1	0	0	0	0	""	200	2018	6	24	2	""	2000	"81"	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	500	"79"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1500	"6 7"	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	"3"	0	0	1	0	0	"4"	0	0	0	1	0	0	0	"3 4"	0	0	1	1	0	0	0	2	0	5	5	4	"97"	0	0	0	0	0	0	0	0	0	0	1	""						"1"	1	0	0	0	0	0	0	0	0	0	0	"1"	1	0	0	0	0	0	0	0	0	0	0	0	800	1000			100	2	2	2	1	3	2	1340	105	208	62.7	2094	3330	-999	8500	6375	""	2532	"3"	0	0	0	0	1	0	0	0	0	0	0	0	0	"1 5"	1	0	0	0	1	0	0	0	0	""	4		208	0	0	0	0	0	0	5	5	1	1	50	18250	0	4	4	3	3	2	2	2	0	0	0	0	0	0	0	0						4	4	3	3	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	20		3070				1	1	21	1	1	3642	400	1	0	1200	100	1300	""	4233	2	4615	"uuid:0d34c474-ae83-4301-9afe-5ce2d4b0383a"	1905090715	"uuid:0d34c474-ae83-4301-9afe-5ce2d4b0383a"
"May 13, 2019 2:19:14 PM"	"May 13, 2019"	"8.68912E+14"	3913	"Mathare"	"b747379"	"MlangoKubwa V2 A"	1	84	1		130	44	0	2	1	3	1	""	1	1	0	1	1	0	1	0	0		700	700		300				200		40			100		2	"96"	0	0	0	0	0	0	0	0	0	0	0	0	1		"96"	0	0	0	0	0	0	0	0	0	0	0	0	1	100	1	100	150	"2 4 5"	0	1	0	1	1	0	0	0	0	0	""	350	2016	98	8	1	""	4000	"97"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	500	"96"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"6 7"	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	1	"1 3"	1	0	1	0	0	"2 6"	0	1	0	0	0	1	0	"96"	0	0	0	0	0	0	1	2	6000	4	4	2	"6"	0	0	0	0	0	1	0	0	0	0	0	""						"6"	0	0	0	0	0	1	0	0	0	0	0	"6"	0	0	0	0	0	1	0	0	0	0	0	300	1500	10000		0		8	0	0	4	0	0	1159	105	208	1011.75	9318	1665	500	85	637.5	"0"	2317	"3 9"	0	0	0	0	1	0	0	0	0	0	1	0	0	"1"	1	0	0	0	0	0	0	0	0	""	5		156	0	0	0	0	0	0	4	4	4	1	50	1500	0	0	20																			0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20		2733	1	1	1	1	1	1	1	1	2893	200	1	200	600	300	900	""	3163	1	3903	"uuid:99c69dce-4a2b-462d-8bdf-8128d8eb026b"	1905090715	"uuid:99c69dce-4a2b-462d-8bdf-8128d8eb026b"
"May 13, 2019 2:19:15 PM"	"May 13, 2019"	"8.68912E+14"	2985	"Mathare"	"c69ef2e"	"MlangoKubwa V2 A"	1	38	1		150	37	0	5	4	3	1	""	1	1	0	0	1	0	1	0	0		700	700		350						50			50		2	"96"	0	0	0	0	0	0	0	0	0	0	0	0	1		"96"	0	0	0	0	0	0	0	0	0	0	0	0	1	100	1	70	100	"4 8"	0	0	0	1	0	0	0	1	0	0	""	200	2017	8	52	1	""	2000	"97"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	300	"96"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"7"	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	"3"	0	0	1	0	0	"2"	0	1	0	0	0	0	0	"96"	0	0	0	0	0	0	1	1	1400	5	5	4	"6"	0	0	0	0	0	1	0	0	0	0	0	""						""												"6"	0	0	0	0	0	1	0	0	0	0	0	0	2400	3500		1400		3	2	1	4	0	2	1080	109	180	0	0	0	0	0	0	""	1399	"3 9"	0	0	0	0	1	0	0	0	0	0	1	0	0	"1 5"	1	0	0	0	1	0	0	0	0	""	5		520	0	0	0	0	0	0	5	5	5	2	50	20000	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0					0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	20		2039	9	12	12	21	21	21	21	21	2186	200	1	200	600	300	900	""	2502	1	2975	"uuid:e8077ec8-809d-4ce3-bae2-4ff398292913"	1905090715	"uuid:e8077ec8-809d-4ce3-bae2-4ff398292913"
"May 13, 2019 2:19:16 PM"	"May 13, 2019"	"8.68912E+14"	5389	"Mathare"	"7b13769"	"MlangoKubwa V2 A"	1	19	1		79	41	0	4	2	3	1	""	1	1	0	0	1	0	1	0	0		700	700		280						20			50		2	"96"	0	0	0	0	0	0	0	0	0	0	0	0	1		"96"	0	0	0	0	0	0	0	0	0	0	0	0	1	100	1	50	100	"96"	0	0	0	0	0	0	0	0	0	1	""	250	2018	1	8	1	""	2500	"97"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	300	"97"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	"7"	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	"96"	0	0	0	1	0	"96"	0	0	0	0	0	0	1	"2"	0	1	0	0	0	0	0	1	100	5	5	2	""												"2"	0	1	0	0	0	""												"1"	1	0	0	0	0	0	0	0	0	0	0	0						5	0	0	3	0	4	881	105	208	1011.75	0	3330	2200	860	857	""	1518	"3"	0	0	0	0	1	0	0	0	0	0	0	0	0	"1 5"	1	0	0	0	1	0	0	0	0	""	4		260	0	0	0	0	0	0	3	3	3	1	50	5000	0	0	0	0	20																	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20		1982	17	20	19	1	21	7	4	9	2130	300	1	100	900	200	1100	""	2346	1	3666	"uuid:04fdfe9d-f218-455a-b172-3501079dcc57"	1905090715	"uuid:04fdfe9d-f218-455a-b172-3501079dcc57"
"May 13, 2019 3:02:59 PM"	"May 13, 2019"	"3.56213E+14"	2840	"Mathare"	"41cf4d5"	"MlangoKubwa V2 B"	1	40	1		255	3	0	3	1	3	1	""	1	1	0	0	0	0	1	0	0		700	700		150									35		2	"96"	0	0	0	0	0	0	0	0	0	0	0	0	1		"96"	0	0	0	0	0	0	0	0	0	0	0	0	1	100	1	50	100	"2"	0	1	0	0	0	0	0	0	0	0	""	400	2018	8	20	2	""	2500	"12"	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	300	"96"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"32"	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	"96"	0	0	0	1	0	"3"	0	0	1	0	0	0	0	"96"	0	0	0	0	0	0	1	3	300	5	4	4	"10"	0	0	0	0	0	0	0	0	0	1	0	""						""												"1"	1	0	0	0	0	0	0	0	0	0	0	0					1000	6	6	0	0	0	0	901	105	208	61.75	-999	-999	1750	30	1.5	""	1647	"3"	0	0	0	0	1	0	0	0	0	0	0	0	0	"1"	1	0	0	0	0	0	0	0	0	""	3		260	0	0	0	0	0	0	1	1	1	2	500	18000	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0						0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	20		1948	4	9	4	2	2	13	9	1	2504	50	0	350	150	450	600	""	2699	1	2816	"uuid:817bc9ce-d6a7-490d-87d4-e4d3bb0059be"	1905090715	"uuid:817bc9ce-d6a7-490d-87d4-e4d3bb0059be"
