submissiondate	today	tablet_id	duration	respondent_id	respondent_id2	hhwtp	hhpay	hhstove	treatc	treatc2	a_resp	a_noresp	g_char_today	g_char_yest	g_char_dby	g_char_3days	g_char_week	g_c1_comments	g_c2_wtp	g_c2_neighbors	g_c2_others	g_c3_neighbors	g_c3_family	g_c3_friends	g_c3_other	g_stove	g_stove_other	g_stove_other_0	g_stove_other_1	g_stove_other_2	g_stove_other_3	g_stove_other_4	g_stove_other_97	g_stovetype	g_c4_save_jiko	g_c4_spend_jiko	g_c4_spend_jikokoa	g_jikokoa	g_c5_2_usage	g_c5_noshow	g_c5_gone	g_c5_returned	g_c5_other	g_c5_buynew	g_c5_1_sold_why	g_c5_1_sold_amt	g_c5_1_sold_money	g_c5_2_buynew	g_c5_buywhen	g_c5_buyno	g_c5_buyno_1	g_c5_buyno_2	g_c5_buyno_3	g_c5_buyno_4	g_c5_buyno_5	g_c5_buyno_6	g_c5_buyno_7	g_c5_buyno_97	g_c5_buymore	g_c4_save_jiko2	g_c4_spend_jiko2	g_c4_spend_jikokoa2	g_c5_5_savespend	g_c5_5_savespend_1	g_c5_5_savespend_2	g_c5_5_savespend_3	g_c5_5_savespend_4	g_c5_5_savespend_5	g_c5_5_savespend_6	g_c5_5_savespend_7	g_c5_5_savespend_8	g_c5_5_savespend_9	g_c5_5_savespend_10	g_c5_5_savespend_11	g_c5_5_savespend_12	g_c5_5_savespend_13	g_c5_5_savespend_99	g_c5_5_savespend_97	g_c5_5_savespend_detail	g_c5_5_save	g_c5_sellconsider	g_c5_2_sellamt	g_c5_2_sellwho	g_c5_jiko	g_c5_3_work	g_c5_3_usage	g_c5_3_jikokoa	g_c5_3_jikokoa_1	g_c5_3_jikokoa_2	g_c5_3_jikokoa_3	g_c5_3_jikokoa_4	g_c5_3_jikokoa_5	g_c5_3_jikokoa_6	g_c5_3_jikokoa_7	g_c5_3_jikokoa_8	g_c5_3_jikokoa_96	g_c5_3_jikoko_other	g_c5_3_oldjiko	g_c5_3_oldjiko_amt	g_c5_4_payjikokoa	g_c5_4_money	g_c5_4_theft	g_c5_4_migration	g_c5_4_benefits	g_c5_4_benefits_1	g_c5_4_benefits_3	g_c5_4_benefits_4	g_c5_4_benefits_5	g_c5_4_benefits_6	g_c5_4_benefits_7	g_c5_4_benefits_97	g_c5_4_benefits_99	g_c5_4_costs	g_c5_4_recom	g_c5_4_payhow	g_c5_4_payhow_11	g_c5_4_payhow_12	g_c5_4_payhow_13	g_c5_4_payhow_21	g_c5_4_payhow_22	g_c5_4_payhow_23	g_c5_4_payhow_31	g_c5_4_payhow_32	g_c5_4_payhow_33	g_c5_4_payhow_34	g_c5_4_payhow_35	g_c5_4_payhow_97	g_c5_4_payhow_more	g_c5_6_taste	g_c5_6_value	g_c5_6_broken	g_c5_6_proud	d1_use_morn	d1_use_aft	d1_use_eve	f_health_trad_adult	f_health_trad_child	f_health_longterm	f_health_jikokoa0	f_health_jikokoa1	f_health_work	f1_comment	d2_anychildren	d2_cough_resp	d2_breath_resp	d2_hours_resp	d2_cough_child	d2_breath_child	d2_hours_child	d3_stop	d3_start	d3_amount	d3_taste	d3_process	d3_surprise	d3_like	d3_dislike	d3_duration	d3_dur_longer	d3_dur_shorter	d_ivself1	d_ivself2	d_ivself3	d_ivself4	d_ivself5	d_ivself6	d_ivself7	d_ivself8	d_ivself9	d_ivself10	d_ivself11	d_ivself12	d_ivself13	d_ivself14	d_ivself15	d_ivself16	d_ivself17	d_ivself18	d_ivself19	d_ivself20	d_ivself21	d_ivself22	d_ivothers1	d_ivothers2	d_ivothers3	d_ivothers4	d_ivothers5	d_ivothers6	d_ivothers7	d_ivothers8	d_ivothers9	d_ivothers10	d_ivothers11	d_ivothers12	d_ivothers13	d_ivothers14	d_ivothers15	d_ivothers16	d_ivothers17	d_ivothers18	d_ivothers19	d_ivothers20	d_ivothers21	d_ivothers22	g1a	g1b	g1b_1	g1b_2	g1b_3	g1b_96	g1c	g2a	g2b	g2b2	g2c	g1g1	tasksv2	tasksv3	bucket_weight	bdmweekly	bdmmonthly	received_sms	nosms_select	nosms_select_1	nosms_select_2	nosms_select_3	nosms_select_4	nosms_select_5	nosms_select_6	nosms_select_97	nosms_select_99	nosms_newnum	nosms_why	sms_responded	sms_noairtime	purpose_1	purpose_yn	instanceid	formdef_version	key
"Jun 17, 2019 9:42:33 AM"	"Jun 17, 2019"	"894ee145092eb045"	3059	"8261f53"	"8261f53"	2906	1120	1	2	2	1		0	70	140	200	400	""	2500	0	0													""				1	2	""			""					0		"1"	1	0	0	0	0	0	0	0	""	1000	2000	1000	"12"	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	"She paid school fees"		0		""	1	1	2	"4"	0	0	0	1	0	0	0	0	0	""				"Normal daily expenses"	1	2	"1 5 7"	1	0	0	1	0	1	0	0	"None by now"	1															4	1	4	1	0	0	60	4	4	3		1	50	""	1	0	0	0	0	0	0	"No"	"No"	3	"No"	"Yes, it's a little faster"	"It cooks faster than the traditional one"	"It's clean, and comfortable when cooking"	"No"	3		45	0	0	5	5	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	"1"	1	0	0	0	1	0	500	10000	0	5000	23	3	10	95	381	1	""										""			"Kusaidia maskini kuinuka kidogo kwa kupata jiko ya kisasa"	0	"uuid:c8f9693f-33b2-4a16-bd3d-bb4c3a9c8266"	1906141438	"uuid:c8f9693f-33b2-4a16-bd3d-bb4c3a9c8266"
"Jun 17, 2019 9:46:29 AM"	"Jun 17, 2019"	"44:65:0d:c0:b9:21"	2008	"78415b0"	"78415b0"	2204	2675	0	1	1	1		0	90	90	180	630	""	2204	0	0					0	0	1	0	0	0	0	0	""	1000	2700	1350			""			""					0		"1"	1	0	0	0	0	0	0	0	"She says she doesn't need it now."				""																""				""				""										""				""			""									""																				0	60	180	4	4	4	2		0	""	1	0	0	0	0	0	0	""	""		""	""	""	""	""				0	1	7	10	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	"1 3"	1	0	1	0	0	0	1000	5000		2857	10	9.5	7.5			1	""										""			"Watu wajue  umuhimu na maana ya jikokoa."	1	"uuid:7086ca21-ff28-4d0b-8dca-57fcec6509c5"	1906141438	"uuid:7086ca21-ff28-4d0b-8dca-57fcec6509c5"
"Jun 17, 2019 10:15:57 AM"	"Jun 17, 2019"	"8.68912E+14"	2515	"d84cfc5"	"d84cfc5"	3000	2545	1	2	2	1		0	100	100	300	700	""	3000	0	0													""				1	1	""			""					0		"1"	1	0	0	0	0	0	0	0	""	1000	3000	1500	"13"	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	"The mother has been admitted in hospitalhence she has been using this money to buy drugs"		0		""	1	1	0	""										""				"Pay school fees"	4	2	"7"	0	0	0	0	0	1	0	0	"It requires everyday cleaning"	1															3	1	4	2	0	60	90	1	1	1		1	0	""	1	1	0	0	1	1	3	"No"	"No"	3	"No"	"No"	"No"	"It saves time and charcoal"	"It takes time to clean everyday"	3		30	0	0	11	6	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	"96"	0	0	0	1	0	300				999	7	23	2.3	216	865	0	"97"	0	0	0	0	0	0	1	0	0	"No particular reason"	0		"I dont know the study objective"	0	"uuid:6ad30a86-0e27-4316-ad6c-dc88962bc5ed"	1906141438	"uuid:6ad30a86-0e27-4316-ad6c-dc88962bc5ed"
"Jun 17, 2019 10:36:04 AM"	"Jun 17, 2019"	"3.56213E+14"	1960	"789dcb9"	"789dcb9"	2422	2628	0	2	2	1		0	80	0	160	240	""	2300	0	0					0	0	1	0	0	0	0	0	""	500	960	430			""			""					0		"1"	1	0	0	0	0	0	0	0	""				""																""				""				""										""				""			""									""																				360	0	180	1	1	1	1		0	""	0	0	0	0				""	""		""	""	""	""	""				0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	"96"	0	0	0	1	0	0				4000	5	21	3			1	""										""			"Teaching about the benefits of Jikokoa."	0	"uuid:a6a92b81-2c57-4bcb-bd26-8902fed161b0"	1906141438	"uuid:a6a92b81-2c57-4bcb-bd26-8902fed161b0"
"Jun 17, 2019 10:36:04 AM"	"Jun 17, 2019"	"3.56213E+14"	3496	"a2a0451"	"a2a0451"	997	329	1	0	0	1		120	120	120	360	840	""	500	0	0													""				1	1	""			""					0		"1"	1	0	0	0	0	0	0	0	""	840	1680	840	"97"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	"She has been paying school fees with the saved cash."		0		""	1	1	1	"5"	0	0	0	0	1	0	0	0	0	""				"Add back to the business."	4	1	"1 5 7"	1	0	0	1	0	1	0	0	"None"	1															5	1	4	1	240	300	180	1	1	1		1	0	""	1	0	0	0	0	0	0	"No"	"Chapati and githeri"	3	"Yes because it has less smoke."	"No"	"No"	"Using less charcoal."	"No"	3		20	0	10	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	5	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	"3"	0	0	1	0	0	0	6800	14000		-999	8	14.25	2			1	""										""			"Usage of charcoal."	0	"uuid:cfbf556f-08a9-4726-8b7e-f31638beae08"	1906141438	"uuid:cfbf556f-08a9-4726-8b7e-f31638beae08"
"Jun 17, 2019 1:19:01 PM"	"Jun 17, 2019"	"8.68912E+14"	1792	"d7a365f"	"d7a365f"	4278	1023	1	1	1	1		0	15	15	20	140	""	3000	0	0													""				1	1	""			""					1	6	""									"Will take some time to get the amount"	210	420	210	"1"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"Food"		0		""	1	1	0	""										""				"Business"	3	2	"1 7"	1	0	0	0	0	1	0	0	"Nothing"	1															3	1	3	1	15	30	60	1	3	3		2	0	""	1	0	0	0	0	0	0	"No"	"No"	3	"No"	"No"	"No"	"Saves money, saves time"	"No"	3		15	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	"3"	0	0	1	0	0	0	400	8000		0	11	15	1	87	348	1	""										""			"To help them get cookstove"	1	"uuid:9b742ce3-56c2-475c-9fe4-7cf25d690783"	1906141438	"uuid:9b742ce3-56c2-475c-9fe4-7cf25d690783"
"Jun 17, 2019 1:19:01 PM"	"Jun 17, 2019"	"8.68912E+14"	1310	"52d1896"	"52d1896"	800	2505	0	1	1	1		0	100	150	250	700	""	1500	1	1	4	0	4	0	0	0	1	0	0	0	0	0	""	1500	3000	1500			""			""					0		"1"	1	0	0	0	0	0	0	0	""				""																""				""				""										""				""			""									""																				20	30	60	3	3	3	3		0	""	1	0	0	0	1	1	3	""	""		""	""	""	""	""				20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	"3"	0	0	1	0	0	0	2000	10000		0	4	31.5	1			0	"5"	0	0	0	0	1	0	0	0	0	"Has no credit, faulty phone battery"	1	1	"Don't know"	1	"uuid:20939186-096d-4dd7-9e8a-f20ffdeb7f1b"	1906141438	"uuid:20939186-096d-4dd7-9e8a-f20ffdeb7f1b"
"Jun 17, 2019 1:19:02 PM"	"Jun 17, 2019"	"8.68912E+14"	1560	"8837aad"	"8837aad"	212	2525	0	0	0	1		0	150	300	300	1000	""	2500	0	0					0	0	1	0	0	0	0	0	""	1500	2000	1500			""			""					0		"1"	1	0	0	0	0	0	0	0	""				""																""				""				""										""				""			""									""																				30	30	90	1	1	1	1		0	""	1	0	0	0	0	0	0	""	""		""	""	""	""	""				0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	"3"	0	0	1	0	0	0	200	2000		200	17	6	1.5			1	""										""			"Don't know maybe to see if the work assigned are done"	1	"uuid:4044a5e3-3f50-47cb-865d-f2348166aa7f"	1906141438	"uuid:4044a5e3-3f50-47cb-865d-f2348166aa7f"
"Jun 17, 2019 1:19:03 PM"	"Jun 17, 2019"	"8.68912E+14"	1432	"9bbabzb"	"9bbabzb"	2227	1088	1	2	0	1		20	20	20	60	140	""	1000	1	1	2	0	0	0									""				1	1	""			""					0		"1"	1	0	0	0	0	0	0	0	""	560	3000	2000	"97"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	"Business"		0		""	1	1	2	"6"	0	0	0	0	0	1	0	0	0	""				"Boost business"	1	2	"1 5"	1	0	0	1	0	0	0	0	"Nothing/none"	1															3	1	4	1	30	20	30	1	4	4		2	0	""	1	0	0	0	0	0	0	"No"	"Yes"	2	"No"	"No"	"Saves money and time"	"Saves money and time"	"No"	2			0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	"3"	0	0	1	0	1	1600	1500	5200	5000	2000	5	25.5	1	0	0	1	""										""			"Help them boost their business"	1	"uuid:01282242-fdd4-46e6-82c5-c245218694eb"	1906141438	"uuid:01282242-fdd4-46e6-82c5-c245218694eb"
"Jun 17, 2019 1:19:04 PM"	"Jun 17, 2019"	"8.68912E+14"	2808	"79725af"	"79725af"	3000	1033	1	1	1	1		30	30	30	90	210	""	1000	0	0													""				1	1	""			""					0		"1"	1	0	0	0	0	0	0	0	""	210	420	210	"1"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"Used in daily house expenditure"		0		""	1	1	2	"6"	0	0	0	0	0	1	0	0	0	""				"Business"	2	2	"1"	1	0	0	0	0	0	0	0	"Nothing"	1															3	1	4	1	15	0	60	3	3	3		1	0	""	1	0	0	0	0	0	0	"No"	"No"	3	"No"	"No"	"No"	"Saves charcoal and less smoke"	"No"	2			0	15	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	"3"	0	0	1	0	0	0	800	2000		1000	12	19.5	3	88	351	1	""										""			"Sell them cookstove"	1	"uuid:8a8ccc2f-31cb-4c68-aac6-bb965efa7d33"	1906141438	"uuid:8a8ccc2f-31cb-4c68-aac6-bb965efa7d33"
